player,outcome,x,y,role
A. Lacazette,GOAL,88,41,Forward
R. Mahrez,Miss,85,52,Midfielder
S. Okazaki,GOAL,96,52,Forward
A. Oxlade-Chamberlain,Miss,81,33,Midfielder
A. Oxlade-Chamberlain,Miss,75,30,Midfielder
D. Welbeck,Miss,90,39,Forward
G. Xhaka,Miss,69,36,Midfielder
D. Welbeck,Miss,86,58,Forward
S. Kolašinac,Miss,90,32,Defender
Mohamed Elneny,Miss,73,36,Midfielder
J. Vardy,GOAL,94,54,Forward
S. Okazaki,Miss,92,58,Forward
G. Xhaka,Miss,72,40,Midfielder
A. Lacazette,Miss,87,48,Forward
D. Welbeck,GOAL,92,50,Forward
M. Özil,Miss,71,64,Midfielder
R. Mahrez,Miss,92,50,Midfielder
R. Mahrez,Miss,75,59,Midfielder
J. Vardy,GOAL,92,54,Forward
A. Oxlade-Chamberlain,Miss,77,55,Midfielder
Bellerín,Miss,91,68,Defender
A. Ramsey,Miss,90,56,Midfielder
G. Xhaka,Miss,72,56,Midfielder
M. Özil,Miss,87,47,Midfielder
A. Oxlade-Chamberlain,Miss,86,72,Midfielder
A. Oxlade-Chamberlain,Miss,66,66,Midfielder
M. Özil,Miss,92,33,Midfielder
A. Oxlade-Chamberlain,Miss,73,66,Midfielder
G. Xhaka,Miss,68,54,Midfielder
A. Ramsey,Miss,92,32,Midfielder
A. Ramsey,GOAL,94,63,Midfielder
A. Lacazette,Miss,90,34,Forward
O. Giroud,GOAL,91,44,Forward
A. Ramsey,Miss,73,58,Midfielder
Gabriel Jesus,Miss,89,37,Forward
Danilo,Miss,80,29,Defender
Fernandinho,Miss,89,59,Midfielder
Gabriel Jesus,Miss,92,56,Forward
Gabriel Jesus,Miss,93,42,Forward
L. Dunk,Miss,88,38,Defender
Gabriel Jesus,Miss,77,41,Forward
N. Otamendi,Miss,79,29,Defender
Fernandinho,Miss,80,38,Midfielder
S. Agüero,Miss,86,34,Forward
D. Pröpper,Miss,74,39,Midfielder
S. Duffy,Miss,88,44,Defender
L. Dunk,Miss,87,55,Defender
L. Dunk,Miss,87,48,Defender
D. Pröpper,Miss,72,66,Midfielder
K. De Bruyne,Miss,71,58,Midfielder
K. De Bruyne,Miss,78,67,Midfielder
S. Agüero,GOAL,89,55,Forward
B. Mee,Miss,92,26,Defender
A. Rüdiger,Miss,75,76,Defender
S. Vokes,GOAL,87,52,Forward
Marcos Alonso,Miss,81,30,Defender
S. Ward,GOAL,91,24,Defender
David Luiz,Miss,74,47,Defender
S. Vokes,GOAL,93,46,Forward
N. Kanté,Miss,75,34,Midfielder
N. Kanté,Miss,79,39,Midfielder
R. Brady,Miss,89,24,Midfielder
A. Rüdiger,Miss,71,33,Defender
Marcos Alonso,Miss,78,23,Defender
M. Batshuayi,Miss,84,43,Forward
S. Vokes,Miss,93,47,Forward
Álvaro Morata,Miss,76,23,Forward
Marcos Alonso,Miss,89,37,Defender
David Luiz,Miss,90,51,Defender
R. Brady,Miss,97,40,Midfielder
Álvaro Morata,GOAL,95,49,Forward
B. Mee,Miss,92,57,Defender
N. Kanté,Miss,77,49,Midfielder
Álvaro Morata,Miss,81,55,Forward
David Luiz,GOAL,90,42,Defender
R. Brady,Miss,86,55,Midfielder
T. Ince,Miss,88,43,Midfielder
K. Palmer,Miss,81,59,Midfielder
P. Billing,Miss,76,30,Midfielder
S. Mounié,GOAL,93,48,Forward
R. Loftus-Cheek,Miss,86,35,Midfielder
M. Jørgensen,Miss,93,56,Defender
W. Zaha,Miss,91,67,Midfielder
W. Zaha,Miss,87,30,Midfielder
C. Benteke,Miss,91,47,Forward
J. Puncheon,Miss,82,33,Midfielder
C. Löwe,Miss,68,28,Defender
