player,outcome,x,y,role
B. Matuidi,Miss,91,29,Midfielder
M. Pintilii,Miss,71,29,Midfielder
B. Stancu,Miss,96,57,Forward
F. Andone,Miss,96,61,Forward
A. Griezmann,Miss,75,33,Forward
O. Giroud,Miss,96,39,Forward
A. Griezmann,Miss,93,61,Forward
P. Pogba,Miss,72,66,Midfielder
D. Payet,Miss,68,31,Midfielder
A. Griezmann,Miss,88,56,Forward
O. Giroud,Miss,88,49,Forward
N. Stanciu,Miss,76,27,Midfielder
B. Stancu,Miss,89,40,Forward
R. Raț,Miss,79,17,Defender
O. Giroud,Miss,91,47,Forward
P. Pogba,Miss,89,53,Midfielder
O. Giroud,GOAL,93,52,Forward
F. Andone,Miss,94,39,Forward
O. Hoban,Miss,73,18,Midfielder
A. Martial,Miss,78,46,Forward
D. Payet,GOAL,80,64,Midfielder
M. Sissoko,Miss,81,37,Midfielder
G. Xhaka,Miss,76,52,Midfielder
F. Schär,GOAL,93,55,Defender
H. Seferović,Miss,82,52,Forward
S. Lichtsteiner,Miss,72,65,Defender
T. Xhaka,Miss,89,62,Midfielder
A. Sadiku,Miss,92,59,Forward
A. Abrashi,Miss,76,51,Midfielder
R. Rodríguez,Miss,68,32,Defender
E. Lenjani,Miss,83,31,Defender
B. Džemaili,Miss,88,68,Midfielder
H. Seferović,Miss,92,28,Forward
H. Seferović,Miss,91,35,Forward
G. Xhaka,Miss,75,37,Midfielder
H. Seferović,Miss,82,37,Forward
B. Embolo,Miss,88,28,Forward
A. Sadiku,Miss,95,68,Forward
X. Shaqiri,Miss,85,69,Midfielder
H. Seferović,Miss,87,44,Forward
F. Frei,Miss,77,51,Midfielder
E. Kaçe,Miss,86,48,Midfielder
S. Gashi,Miss,88,44,Midfielder
X. Shaqiri,Miss,77,36,Midfielder
H. Seferović,Miss,88,43,Forward
C. Keșerü,Miss,88,37,Forward
H. Seferović,Miss,89,40,Forward
B. Stancu,Miss,71,31,Forward
F. Schär,Miss,74,68,Defender
A. Chipciu,Miss,91,27,Midfielder
C. Săpunaru,Miss,90,53,Defender
G. Xhaka,Miss,89,56,Midfielder
M. Pintilii,Miss,74,75,Midfielder
B. Džemaili,Miss,89,44,Midfielder
C. Keșerü,Miss,72,64,Forward
S. Lichtsteiner,Miss,92,56,Defender
O. Hoban,Miss,89,33,Midfielder
O. Hoban,Miss,93,36,Midfielder
X. Shaqiri,Miss,89,66,Midfielder
C. Săpunaru,Miss,72,76,Defender
A. Mehmedi,GOAL,89,32,Forward
A. Chipciu,Miss,79,35,Midfielder
C. Keșerü,Miss,90,42,Forward
B. Embolo,Miss,85,34,Forward
B. Embolo,Miss,92,42,Forward
X. Shaqiri,Miss,91,63,Midfielder
A. Mehmedi,Miss,82,49,Forward
B. Džemaili,Miss,87,70,Midfielder
C. Keșerü,Miss,78,62,Forward
O. Giroud,Miss,92,58,Forward
E. Lenjani,Miss,76,40,Defender
A. Martial,Miss,90,34,Forward
A. Sadiku,Miss,77,72,Forward
O. Giroud,Miss,88,55,Forward
E. Lenjani,Miss,90,53,Defender
L. Memushaj,Miss,79,49,Midfielder
K. Coman,Miss,92,60,Forward
D. Payet,Miss,70,55,Midfielder
P. Pogba,Miss,96,58,Midfielder
K. Coman,Miss,72,54,Forward
D. Payet,Miss,67,53,Midfielder
P. Pogba,Miss,70,50,Midfielder
L. Koscielny,Miss,92,66,Defender
O. Giroud,Miss,93,39,Forward
O. Giroud,Miss,88,48,Forward
N. Kanté,Miss,70,56,Midfielder
B. Sagna,Miss,89,68,Defender
B. Matuidi,Miss,75,40,Midfielder
N. Kanté,Miss,68,50,Midfielder
N. Kanté,Miss,73,38,Midfielder
L. Memushaj,Miss,88,29,Midfielder
A. Griezmann,GOAL,89,50,Forward
D. Payet,GOAL,89,42,Midfielder
P. Pogba,Miss,79,64,Midfielder
P. Pogba,Miss,79,54,Midfielder
P. Pogba,Miss,94,35,Midfielder
B. Džemaili,Miss,78,39,Midfielder
A. Gignac,Miss,89,51,Forward
P. Pogba,Miss,73,45,Midfielder
A. Gignac,Miss,91,63,Forward
A. Mehmedi,Miss,79,23,Forward
Y. Cabaye,Miss,86,26,Midfielder
L. Koscielny,Miss,91,37,Defender
B. Embolo,Miss,90,70,Forward
R. Rodríguez,Miss,69,21,Defender
B. Džemaili,Miss,77,26,Midfielder
A. Gignac,Miss,80,29,Forward
A. Griezmann,Miss,79,38,Forward
D. Payet,Miss,88,29,Midfielder
D. Payet,Miss,75,43,Midfielder
N. Stanciu,Miss,75,42,Midfielder
O. Hoban,Miss,79,21,Midfielder
B. Stancu,Miss,84,45,Forward
D. Alibec,Miss,73,38,Forward
E. Hysaj,Miss,74,71,Defender
A. Mățel,Miss,68,50,Defender
M. Basha,Miss,62,54,Midfielder
L. Memushaj,Miss,94,63,Midfielder
M. Basha,Miss,89,61,Midfielder
A. Sadiku,GOAL,99,39,Forward
D. Alibec,Miss,81,75,Forward
M. Mavraj,Miss,90,66,Defender
G. Torje,Miss,77,29,Midfielder
L. Memushaj,Miss,79,71,Midfielder
G. Torje,Miss,73,40,Midfielder
L. Memushaj,Miss,89,70,Midfielder
F. Andone,Miss,89,64,Forward
O. Hoban,Miss,68,53,Midfielder
N. Stanciu,Miss,75,26,Midfielder
N. Stanciu,Miss,77,60,Midfielder
M. Mavraj,Miss,91,44,Defender
A. Abrashi,Miss,87,73,Midfielder
M. Mavraj,Miss,90,56,Defender
L. Cana,Miss,88,66,Defender
N. Stanciu,Miss,79,71,Midfielder
M. Hamšík,Miss,87,46,Midfielder
M. Hamšík,Miss,74,33,Midfielder
A. Ramsey,Miss,71,56,Midfielder
V. Weiss,Miss,70,56,Forward
A. Williams,Miss,32,43,Defender
M. Ďuriš,Miss,82,56,Forward
M. Hamšík,Miss,73,44,Midfielder
G. Bale,Miss,77,61,Forward
R. Mak,Miss,86,36,Forward
G. Bale,Miss,97,42,Forward
O. Duda,GOAL,87,55,Midfielder
J. Kucka,Miss,70,47,Midfielder
R. Mak,Miss,75,68,Forward
A. Ramsey,Miss,95,52,Midfielder
H. Robson-Kanu,GOAL,88,60,Forward
A. Nemec,Miss,92,41,Forward
G. Bale,Miss,79,29,Forward
R. Mak,Miss,88,62,Forward
D. Alli,Miss,73,51,Midfielder
A. Lallana,Miss,90,55,Midfielder
D. Alli,Miss,90,45,Midfielder
C. Smalling,Miss,90,43,Defender
H. Kane,Miss,71,19,Forward
S. Ignashevich,Miss,90,63,Defender
A. Lallana,Miss,92,59,Midfielder
W. Rooney,Miss,81,61,Forward
D. Rose,Miss,73,18,Defender
A. Kokorin,Miss,90,67,Forward
A. Golovin,Miss,78,57,Midfielder
V. Berezutski,Miss,89,52,Defender
F. Smolov,Miss,75,39,Forward
W. Rooney,Miss,87,53,Forward
H. Kane,Miss,83,50,Forward
A. Lallana,Miss,74,75,Midfielder
V. Berezutski,GOAL,91,54,Defender
A. Golovin,Miss,77,34,Midfielder
M. Hamšík,Miss,86,22,Midfielder
M. Škrtel,Miss,89,40,Defender
F. Smolov,Miss,75,54,Forward
A. Dzyuba,Miss,93,49,Forward
F. Smolov,Miss,74,43,Forward
V. Weiss,GOAL,91,37,Forward
M. Hamšík,Miss,82,56,Midfielder
M. Hamšík,GOAL,89,24,Midfielder
O. Duda,Miss,94,65,Midfielder
R. Mak,Miss,92,31,Forward
O. Shatov,Miss,71,48,Midfielder
A. Kokorin,Miss,75,62,Forward
F. Smolov,Miss,90,52,Forward
D. Glushakov,Miss,82,51,Midfielder
M. Hamšík,Miss,81,33,Midfielder
M. Hamšík,Miss,82,44,Midfielder
P. Mamaev,Miss,77,51,Midfielder
D. Glushakov,GOAL,91,45,Midfielder
O. Shatov,Miss,79,33,Midfielder
D. Glushakov,Miss,81,56,Midfielder
A. Dzyuba,Miss,84,52,Forward
J. Chester,Miss,88,53,Defender
R. Sterling,Miss,94,51,Forward
G. Bale,Miss,93,29,Forward
W. Rooney,Miss,70,37,Forward
G. Cahill,Miss,94,50,Defender
H. Kane,Miss,98,51,Forward
C. Smalling,Miss,90,44,Defender
E. Dier,Miss,69,60,Midfielder
D. Sturridge,Miss,77,80,Forward
A. Ramsey,Miss,71,37,Midfielder
W. Rooney,Miss,81,36,Forward
J. Vardy,GOAL,98,50,Forward
A. Lallana,Miss,76,64,Midfielder
E. Dier,Miss,89,43,Midfielder
D. Sturridge,Miss,77,78,Forward
D. Sturridge,Miss,81,52,Forward
G. Bale,Miss,90,61,Forward
W. Rooney,Miss,85,50,Forward
J. Williams,Miss,78,33,Midfielder
D. Alli,Miss,82,32,Midfielder
K. Walker,Miss,78,78,Defender
G. Cahill,Miss,90,56,Defender
D. Sturridge,GOAL,95,41,Forward
G. Bale,Miss,86,59,Forward
J. Vardy,Miss,92,61,Forward
V. Pečovský,Miss,73,32,Midfielder
A. Lallana,Miss,70,51,Midfielder
J. Henderson,Miss,90,66,Midfielder
J. Vardy,Miss,93,42,Forward
D. Sturridge,Miss,73,48,Forward
A. Lallana,Miss,87,56,Midfielder
A. Lallana,Miss,72,53,Midfielder
J. Vardy,Miss,87,48,Forward
J. Henderson,Miss,78,53,Midfielder
N. Clyne,Miss,91,66,Defender
G. Cahill,Miss,86,52,Defender
V. Weiss,Miss,91,30,Forward
D. Alli,Miss,91,36,Midfielder
E. Dier,Miss,39,43,Midfielder
E. Dier,Miss,72,64,Midfielder
E. Dier,Miss,75,47,Midfielder
W. Rooney,Miss,78,58,Forward
G. Cahill,Miss,89,49,Defender
E. Dier,Miss,72,54,Midfielder
H. Kane,Miss,72,35,Forward
W. Rooney,Miss,78,60,Forward
H. Kane,Miss,92,47,Forward
D. Alli,Miss,74,52,Midfielder
E. Dier,Miss,78,49,Midfielder
D. Alli,Miss,69,40,Midfielder
G. Bale,Miss,83,74,Forward
G. Bale,Miss,80,72,Forward
A. Ramsey,GOAL,87,51,Midfielder
A. Kokorin,Miss,75,67,Forward
N. Taylor,Miss,94,30,Defender
N. Taylor,GOAL,94,35,Defender
S. Vokes,Miss,96,45,Forward
A. Dzyuba,Miss,86,48,Forward
S. Vokes,Miss,88,60,Forward
G. Bale,Miss,94,37,Forward
A. Ramsey,Miss,75,64,Midfielder
S. Vokes,Miss,93,49,Forward
A. Kokorin,Miss,69,29,Forward
G. Bale,Miss,80,79,Forward
G. Bale,Miss,91,36,Forward
D. Kombarov,Miss,79,32,Defender
P. Mamaev,Miss,90,55,Midfielder
A. Ramsey,Miss,87,35,Midfielder
F. Smolov,Miss,90,73,Forward
G. Bale,Miss,92,29,Forward
F. Smolov,Miss,79,52,Forward
G. Bale,Miss,89,36,Forward
N. Taylor,Miss,62,50,Defender
D. Glushakov,Miss,79,42,Midfielder
G. Bale,GOAL,91,40,Forward
A. Dzyuba,Miss,94,50,Forward
A. Ramsey,Miss,90,68,Midfielder
A. Williams,Miss,91,42,Defender
I. Smolnikov,Miss,74,83,Defender
A. Dzyuba,Miss,90,36,Forward
K. Mączyński,Miss,76,35,Midfielder
J. Błaszczykowski,Miss,82,68,Midfielder
A. Milik,Miss,92,43,Forward
K. Mączyński,Miss,86,26,Midfielder
Ł. Piszczek,Miss,74,60,Defender
A. Milik,Miss,74,34,Forward
A. Milik,Miss,87,41,Forward
B. Kapustka,Miss,70,43,Midfielder
B. Kapustka,Miss,83,51,Midfielder
A. Milik,GOAL,86,50,Forward
B. Kapustka,Miss,78,38,Midfielder
J. Błaszczykowski,Miss,89,65,Midfielder
J. Błaszczykowski,Miss,74,40,Midfielder
K. Mączyński,Miss,80,52,Midfielder
K. Lafferty,Miss,72,59,Forward
K. Grosicki,Miss,87,62,Midfielder
A. Milik,Miss,85,59,Forward
G. Krychowiak,Miss,71,54,Midfielder
M. Götze,Miss,83,30,Midfielder
J. Draxler,Miss,91,36,Midfielder
Y. Konoplyanka,Miss,81,57,Midfielder
J. Hector,Miss,91,34,Defender
S. Mustafi,GOAL,95,39,Defender
T. Kroos,Miss,78,43,Midfielder
E. Khacheridi,Miss,93,47,Defender
S. Khedira,Miss,89,43,Midfielder
V. Shevchuk,Miss,79,30,Defender
Y. Konoplyanka,Miss,88,40,Midfielder
J. Draxler,Miss,78,23,Midfielder
T. Kroos,Miss,73,27,Midfielder
T. Kroos,Miss,75,55,Midfielder
S. Khedira,Miss,73,65,Midfielder
S. Khedira,Miss,75,52,Midfielder
J. Draxler,Miss,94,40,Midfielder
M. Götze,Miss,90,71,Midfielder
T. Müller,Miss,73,62,Forward
J. Boateng,Miss,71,56,Defender
A. Schürrle,Miss,79,47,Forward
M. Özil,Miss,85,50,Midfielder
A. Yarmolenko,Miss,76,72,Forward
B. Schweinsteiger,GOAL,96,60,Midfielder
S. Dallas,Miss,80,20,Midfielder
S. Sydorchuk,Miss,75,66,Midfielder
C. Washington,Miss,79,19,Forward
S. Sydorchuk,Miss,72,57,Midfielder
Y. Rakitskiy,Miss,69,32,Defender
Y. Konoplyanka,Miss,83,49,Midfielder
C. Evans,Miss,89,60,Midfielder
C. Cathcart,Miss,94,51,Defender
J. Ward,Miss,75,77,Midfielder
G. McAuley,Miss,90,39,Defender
S. Davis,Miss,92,73,Midfielder
Y. Konoplyanka,Miss,86,30,Midfielder
Y. Seleznyov,Miss,96,40,Forward
G. McAuley,GOAL,93,52,Defender
Y. Seleznyov,Miss,90,45,Forward
T. Stepanenko,Miss,78,29,Midfielder
O. Norwood,Miss,76,38,Midfielder
C. Washington,Miss,87,44,Forward
V. Kovalenko,Miss,81,53,Midfielder
V. Kovalenko,Miss,76,53,Midfielder
O. Zinchenko,Miss,89,44,Midfielder
V. Shevchuk,Miss,82,32,Defender
A. Yarmolenko,Miss,75,63,Forward
Y. Konoplyanka,Miss,78,40,Midfielder
Y. Konoplyanka,Miss,75,39,Midfielder
S. Dallas,Miss,83,49,Midfielder
N. McGinn,GOAL,94,56,Midfielder
M. Götze,Miss,92,47,Midfielder
J. Hector,Miss,72,38,Defender
S. Khedira,Miss,69,50,Midfielder
T. Kroos,Miss,89,46,Midfielder
R. Lewandowski,Miss,83,36,Forward
A. Milik,Miss,92,44,Forward
J. Draxler,Miss,73,40,Midfielder
J. Draxler,Miss,76,70,Midfielder
S. Khedira,Miss,81,35,Midfielder
A. Milik,Miss,96,52,Forward
M. Götze,Miss,90,56,Midfielder
R. Lewandowski,Miss,83,44,Forward
M. Hummels,Miss,91,38,Defender
T. Kroos,Miss,72,32,Midfielder
M. Özil,Miss,90,40,Midfielder
T. Kroos,Miss,74,40,Midfielder
K. Mączyński,Miss,71,62,Midfielder
M. Özil,Miss,70,48,Midfielder
T. Müller,Miss,91,63,Forward
A. Milik,Miss,93,30,Forward
R. Lewandowski,Miss,91,50,Forward
Y. Konoplyanka,Miss,81,26,Midfielder
R. Zozulya,Miss,90,56,Forward
A. Yarmolenko,Miss,95,62,Forward
R. Zozulya,Miss,88,55,Forward
A. Yarmolenko,Miss,90,63,Forward
K. Glik,Miss,88,45,Defender
R. Lewandowski,Miss,87,57,Forward
Y. Konoplyanka,Miss,74,27,Midfielder
T. Jodłowiec,Miss,77,75,Midfielder
T. Jodłowiec,Miss,79,34,Midfielder
O. Zinchenko,Miss,94,52,Midfielder
J. Błaszczykowski,GOAL,90,59,Midfielder
B. Kapustka,Miss,90,28,Midfielder
T. Stepanenko,Miss,72,77,Midfielder
O. Zinchenko,Miss,89,41,Midfielder
R. Zozulya,Miss,84,50,Forward
O. Zinchenko,Miss,72,43,Midfielder
Y. Konoplyanka,Miss,81,49,Midfielder
A. Yarmolenko,Miss,78,73,Forward
Y. Konoplyanka,Miss,80,26,Midfielder
O. Zinchenko,Miss,90,47,Midfielder
A. Milik,Miss,91,39,Forward
R. Zozulya,Miss,91,47,Forward
Y. Konoplyanka,Miss,87,31,Midfielder
R. Rotan,Miss,76,50,Midfielder
A. Yarmolenko,Miss,77,73,Forward
T. Kroos,Miss,76,30,Midfielder
T. Müller,Miss,91,50,Forward
M. Özil,Miss,89,44,Midfielder
M. Götze,Miss,91,58,Midfielder
J. Kimmich,Miss,93,65,Defender
M. Özil,Miss,92,48,Midfielder
T. Müller,Miss,90,67,Forward
J. Ward,Miss,74,68,Midfielder
T. Müller,Miss,92,59,Forward
M. Gómez,GOAL,87,44,Forward
T. Müller,Miss,88,41,Forward
S. Khedira,Miss,95,48,Midfielder
M. Gómez,Miss,90,41,Forward
M. Götze,Miss,91,39,Midfielder
T. Kroos,Miss,77,36,Midfielder
M. Götze,Miss,92,41,Midfielder
S. Khedira,Miss,78,64,Midfielder
M. Gómez,Miss,89,46,Forward
J. Evans,Miss,94,44,Defender
T. Müller,Miss,87,30,Forward
T. Müller,Miss,89,44,Forward
A. Schürrle,Miss,76,42,Forward
J. Kimmich,Miss,77,70,Defender
M. Gómez,Miss,94,43,Forward
M. Özil,Miss,77,71,Midfielder
J. Hector,Miss,80,38,Defender
M. Gómez,Miss,88,45,Forward
M. Özil,Miss,87,72,Midfielder
I. Rakitić,Miss,94,69,Midfielder
O. Tufan,Miss,72,32,Midfielder
M. Mandžukić,Miss,90,43,Forward
M. Brozović,Miss,88,61,Midfielder
M. Brozović,Miss,93,63,Midfielder
M. Badelj,Miss,83,49,Midfielder
O. Tufan,Miss,89,45,Midfielder
M. Brozović,Miss,72,72,Midfielder
M. Mandžukić,Miss,88,41,Forward
L. Modrić,GOAL,71,58,Midfielder
H. Balta,Miss,96,66,Defender
V. Şen,Miss,90,61,Midfielder
M. Mandžukić,Miss,91,46,Forward
D. Srna,Miss,90,64,Defender
H. Çalhanoğlu,Miss,73,62,Midfielder
M. Brozović,Miss,90,65,Midfielder
M. Mandžukić,Miss,89,32,Forward
H. Çalhanoğlu,Miss,72,64,Midfielder
I. Perišić,Miss,93,53,Midfielder
M. Brozović,Miss,90,44,Midfielder
M. Badelj,Miss,91,44,Midfielder
I. Perišić,Miss,98,66,Midfielder
E. Mor,Miss,73,70,Forward
Sergio Ramos,Miss,92,58,Defender
Álvaro Morata,Miss,93,49,Forward
Álvaro Morata,Miss,90,28,Forward
Sergio Busquets,Miss,80,57,Midfielder
Nolito,Miss,74,30,Forward
Iniesta,Miss,64,62,Midfielder
