player,outcome,x,y,role
A. Fulgini,GOAL,94,57,Midfielder
F. Kamano,Miss,83,42,Forward
Y. Sankharé,GOAL,96,43,Midfielder
V. Vada,Miss,84,21,Midfielder
L. Coulibaly,Miss,73,51,Midfielder
B. Santamaria,Miss,72,59,Midfielder
F. Kamano,Miss,82,32,Forward
A. Mendy,GOAL,93,51,Forward
A. Fulgini,Miss,87,68,Midfielder
G. Sunu,Miss,82,21,Forward
F. Kamano,Miss,88,37,Forward
T. Mangani,Miss,79,50,Midfielder
B. Santamaria,Miss,75,34,Midfielder
K. Toko Ekambi,Miss,87,55,Forward
B. Guillaume,GOAL,93,47,Forward
A. El Ghazi,Miss,88,64,Forward
Luiz Araújo,Miss,90,34,Forward
Luiz Araújo,Miss,87,38,Forward
A. Touré,Miss,77,43,Midfielder
P. Nakoulma,Miss,95,45,Forward
A. El Ghazi,Miss,79,65,Forward
N. de Préville,Miss,94,44,Forward
A. El Ghazi,Miss,73,58,Forward
N. de Préville,Miss,86,67,Forward
J. Alonso,GOAL,80,36,Defender
V. Rongier,Miss,90,42,Midfielder
K. Malcuit,Miss,72,79,Defender
Luiz Araújo,Miss,86,66,Forward
P. Nakoulma,Miss,88,62,Forward
A. El Ghazi,GOAL,93,63,Forward
L. Dubois,Miss,85,37,Defender
L. Dubois,Miss,77,46,Defender
V. Rongier,Miss,76,64,Midfielder
Luiz Araújo,Miss,90,39,Forward
Edgar Ié,Miss,85,57,Defender
B. Traoré,Miss,92,64,Forward
Mariano Díaz,Miss,74,42,Forward
Mariano Díaz,Miss,91,46,Forward
B. Traoré,Miss,88,72,Forward
Mariano Díaz,GOAL,80,36,Forward
Mariano Díaz,Miss,93,49,Forward
D. Liénard,Miss,97,35,Midfielder
Mariano Díaz,Miss,93,51,Forward
Sergi Darder,Miss,77,30,Midfielder
Mariano Díaz,GOAL,85,50,Forward
I. Sacko,Miss,73,71,Forward
I. Sacko,Miss,87,48,Forward
S. Bahoken,Miss,94,68,Forward
K. Mangane,Miss,83,50,Defender
N. Fekir,GOAL,86,57,Midfielder
P. Martinez,Miss,72,28,Defender
Kwon Chang-Hoon,Miss,88,64,Midfielder
F. Thauvin,Miss,87,63,Forward
W. Saïd,Miss,93,29,Forward
B. Jeannot,Miss,88,49,Forward
M. Sanson,Miss,76,43,Midfielder
R. Amalfitano,Miss,74,62,Midfielder
