player,outcome,x,y,role
C. Tolisso,Miss,83,66,Midfielder
N. Süle,GOAL,95,59,Defender
A. Mehmedi,Miss,91,66,Forward
K. Bellarabi,Miss,88,49,Midfielder
A. Vidal,Miss,74,42,Midfielder
C. Tolisso,GOAL,98,53,Midfielder
K. Volland,Miss,94,66,Forward
C. Tolisso,Miss,91,73,Midfielder
K. Bellarabi,Miss,78,60,Midfielder
T. Müller,Miss,93,37,Forward
K. Bellarabi,Miss,80,57,Midfielder
D. Kohr,Miss,78,63,Midfielder
C. Tolisso,Miss,76,51,Midfielder
L. Bailey,Miss,81,70,Forward
K. Bellarabi,Miss,99,62,Midfielder
K. Bellarabi,Miss,96,71,Midfielder
K. Volland,Miss,92,68,Forward
J. Brandt,Miss,81,70,Midfielder
J. Brandt,Miss,94,55,Midfielder
D. Kohr,Miss,92,50,Midfielder
M. Hummels,Miss,90,57,Defender
A. Mehmedi,GOAL,91,71,Forward
D. Kohr,Miss,94,49,Midfielder
R. Lewandowski,Miss,88,31,Forward
Wendell,Miss,76,37,Defender
K. Coman,Miss,77,30,Forward
R. Lewandowski,Miss,88,63,Forward
K. Kampl,Miss,81,39,Midfielder
J. Brandt,Miss,93,34,Midfielder
K. Bellarabi,Miss,78,32,Midfielder
A. Robben,Miss,90,62,Midfielder
Á. Szalai,Miss,96,38,Forward
K. Demirbay,Miss,94,43,Midfielder
D. Geiger,Miss,75,53,Midfielder
H. Nordtveit,Miss,92,60,Midfielder
M. Veljkovic,Miss,90,40,Defender
M. Kruse,Miss,75,37,Forward
L. Sané,Miss,91,48,Defender
M. Kruse,Miss,79,59,Forward
F. Kainz,Miss,93,43,Midfielder
L. Augustinsson,Miss,89,34,Defender
M. Eggestein,Miss,74,70,Midfielder
M. Kruse,Miss,74,44,Forward
N. Amiri,Miss,68,46,Midfielder
S. Zuber,Miss,82,34,Midfielder
K. Demirbay,Miss,67,35,Midfielder
M. Eggestein,Miss,87,72,Midfielder
K. Demirbay,Miss,75,51,Midfielder
S. Zuber,Miss,73,40,Midfielder
S. Gnabry,Miss,78,35,Midfielder
S. Gnabry,Miss,90,59,Midfielder
A. Kramarić,GOAL,77,43,Forward
K. Demirbay,Miss,80,67,Midfielder
V. Darida,Miss,73,40,Midfielder
C. Akolo,Miss,83,71,Forward
V. Darida,Miss,75,36,Midfielder
M. Leckie,Miss,90,61,Forward
M. Leckie,Miss,76,61,Forward
V. Ibišević,Miss,80,46,Forward
A. Esswein,Miss,76,26,Midfielder
A. Esswein,Miss,80,68,Midfielder
M. Leckie,GOAL,89,74,Forward
S. Terodde,Miss,98,73,Forward
O. Mangala,Miss,85,54,Midfielder
J. Brekalo,Miss,89,36,Midfielder
O. Mangala,Miss,80,55,Midfielder
M. Leckie,GOAL,91,38,Forward
T. Asano,Miss,89,67,Forward
A. Donis,Miss,96,58,Forward
S. Falette,Miss,75,21,Defender
S. Haller,Miss,81,65,Forward
M. Gaćinović,Miss,80,40,Midfielder
J. Willems,Miss,90,29,Defender
S. Falette,Miss,97,42,Defender
D. Kamada,Miss,88,26,Midfielder
S. Haller,Miss,90,41,Forward
J. de Guzmán,Miss,5,82,Midfielder
S. Haller,Miss,90,54,Forward
T. Kleindienst,Miss,77,79,Forward
M. Gaćinović,Miss,74,30,Midfielder
M. Kempf,Miss,96,37,Defender
T. Chandler,Miss,93,74,Defender
T. Chandler,Miss,94,62,Defender
K. Boateng,Miss,96,59,Midfielder
S. Falette,Miss,97,40,Defender
F. Niederlechner,Miss,88,56,Forward
C. Günter,Miss,74,53,Defender
N. Petersen,Miss,79,65,Forward
K. Boateng,Miss,88,29,Midfielder
T. Hazard,Miss,89,28,Forward
L. Stindl,Miss,88,43,Forward
I. Traoré,Miss,69,51,Midfielder
Raffael,Miss,90,46,Forward
L. Stindl,Miss,90,42,Forward
D. Zakaria,Miss,89,51,Midfielder
J. Córdoba,Miss,92,34,Forward
I. Traoré,Miss,74,78,Midfielder
J. Córdoba,Miss,92,77,Forward
D. Zakaria,Miss,72,32,Midfielder
L. Stindl,Miss,71,52,Forward
Raffael,Miss,90,22,Forward
T. Hazard,Miss,90,45,Forward
N. Elvedi,GOAL,92,58,Defender
J. Córdoba,Miss,87,58,Forward
Raffael,Miss,91,65,Forward
I. Traoré,Miss,88,55,Midfielder
T. Hazard,Miss,68,47,Forward
J. Córdoba,Miss,88,54,Forward
L. Bittencourt,Miss,94,43,Midfielder
J. Córdoba,Miss,93,54,Forward
Raffael,Miss,80,32,Forward
J. Vestergaard,Miss,89,57,Defender
L. Stindl,Miss,88,71,Forward
J. Córdoba,Miss,90,38,Forward
M. Jojić,Miss,75,74,Midfielder
L. Klünter,Miss,87,58,Defender
P. Herrmann,Miss,85,61,Midfielder
J. Córdoba,Miss,75,48,Forward
J. Córdoba,Miss,92,52,Forward
R. Bobadilla,Miss,90,62,Forward
L. Goretzka,Miss,92,39,Midfielder
K. Laimer,Miss,79,49,Midfielder
T. Werner,Miss,88,37,Forward
Y. Konoplyanka,Miss,80,24,Midfielder
T. Kehrer,Miss,68,55,Defender
N. Bentaleb,Miss,69,41,Midfielder
F. Di Santo,Miss,93,36,Forward
N. Bentaleb,Miss,71,30,Midfielder
M. Sabitzer,Miss,83,60,Midfielder
F. Di Santo,Miss,91,73,Forward
M. Sabitzer,Miss,72,66,Midfielder
F. Reese,Miss,77,73,Forward
L. Klostermann,Miss,77,23,Defender
Y. Konoplyanka,GOAL,90,30,Midfielder
J. Augustin,Miss,91,33,Forward
M. Sabitzer,Miss,78,64,Midfielder
E. Forsberg,Miss,86,43,Midfielder
N. Keïta,Miss,94,43,Midfielder
E. Forsberg,Miss,72,17,Midfielder
D. Caligiuri,Miss,93,69,Midfielder
Caiuby,Miss,88,67,Midfielder
N. Müller,GOAL,97,36,Midfielder
J. Schmid,Miss,92,42,Midfielder
Ja-Cheol Koo,Miss,81,48,Midfielder
K. Papadopoulos,Miss,94,32,Defender
F. Kostić,Miss,87,61,Midfielder
M. Gregoritsch,Miss,85,30,Forward
A. Finnbogason,Miss,90,45,Forward
P. Max,Miss,84,30,Defender
A. Hunt,Miss,68,82,Midfielder
B. Wood,Miss,76,49,Forward
D. Baier,Miss,76,65,Midfielder
A. Finnbogason,Miss,92,46,Forward
A. Hahn,Miss,91,56,Forward
M. Gregoritsch,Miss,76,50,Forward
Walace,Miss,71,36,Midfielder
B. Wood,Miss,80,38,Forward
Walace,Miss,89,64,Midfielder
D. Baier,Miss,78,66,Midfielder
L. Waldschmidt,Miss,79,60,Forward
L. Waldschmidt,Miss,86,52,Forward
M. Hitz,Miss,91,46,Goalkeeper
A. Hunt,Miss,87,40,Midfielder
S. Bell,Miss,94,61,Defender
P. De Blasis,Miss,81,54,Forward
G. Donati,Miss,72,67,Defender
P. Schwegler,Miss,77,66,Midfielder
N. Füllkrug,Miss,91,48,Forward
A. Maxim,Miss,90,27,Midfielder
Y. Muto,Miss,93,40,Forward
K. Karaman,Miss,84,48,Forward
D. Latza,Miss,85,29,Midfielder
F. Klaus,Miss,83,55,Midfielder
P. De Blasis,Miss,93,56,Forward
L. Öztunali,Miss,90,69,Midfielder
Y. Muto,Miss,89,41,Forward
M. Harnik,GOAL,89,48,Forward
R. Quaison,Miss,72,45,Midfielder
L. Öztunali,Miss,77,48,Midfielder
R. Quaison,Miss,86,48,Midfielder
D. Latza,Miss,89,44,Midfielder
D. Zagadou,Miss,89,50,Defender
G. Castro,Miss,71,45,Midfielder
D. Didavi,Miss,86,39,Midfielder
Y. Gerhardt,Miss,86,62,Defender
G. Castro,Miss,90,45,Midfielder
M. Gómez,Miss,76,51,Forward
C. Pulisic,GOAL,86,64,Midfielder
M. Philipp,Miss,94,52,Forward
P. Aubameyang,Miss,80,64,Forward
Bartra,GOAL,91,24,Defender
P. Aubameyang,Miss,86,71,Forward
M. Götze,Miss,75,30,Midfielder
M. Götze,Miss,76,54,Midfielder
M. Gómez,Miss,81,50,Forward
M. Gómez,Miss,89,65,Forward
R. Bazoer,Miss,75,57,Midfielder
P. Aubameyang,GOAL,94,42,Forward
M. Philipp,Miss,73,39,Forward
J. Guilavogui,Miss,90,56,Midfielder
P. Aubameyang,Miss,81,41,Forward
N. Şahin,Miss,83,45,Midfielder
P. Aubameyang,GOAL,91,43,Forward
V. Darida,Miss,92,66,Midfielder
C. Pulisic,Miss,84,71,Midfielder
N. Stark,Miss,92,44,Defender
M. Philipp,Miss,74,29,Forward
M. Philipp,Miss,87,30,Forward
C. Pulisic,Miss,82,55,Midfielder
N. Şahin,GOAL,80,58,Midfielder
S. Langkamp,Miss,93,37,Defender
Ö. Toprak,Miss,82,35,Defender
Ł. Piszczek,Miss,70,79,Defender
V. Darida,Miss,92,51,Midfielder
V. Darida,Miss,88,28,Midfielder
M. Philipp,Miss,89,59,Forward
C. Pulisic,Miss,90,48,Midfielder
N. Şahin,Miss,80,35,Midfielder
C. Pulisic,Miss,83,40,Midfielder
C. Pulisic,Miss,96,35,Midfielder
N. Stark,Miss,86,46,Defender
M. Leckie,Miss,86,51,Forward
F. Niederlechner,Miss,97,70,Forward
T. Werner,Miss,90,59,Forward
F. Niederlechner,Miss,89,72,Forward
J. Augustin,Miss,87,60,Forward
L. Klostermann,Miss,87,68,Defender
J. Augustin,Miss,85,40,Forward
F. Niederlechner,GOAL,88,44,Forward
J. Augustin,Miss,90,63,Forward
F. Niederlechner,Miss,97,58,Forward
E. Forsberg,Miss,80,41,Midfielder
M. Terrazzino,Miss,92,29,Forward
T. Werner,Miss,92,54,Forward
M. Halstenberg,Miss,86,30,Defender
M. Sabitzer,Miss,74,57,Midfielder
M. Sabitzer,Miss,78,40,Midfielder
T. Werner,GOAL,98,44,Forward
M. Sabitzer,Miss,89,75,Midfielder
J. Augustin,Miss,94,34,Forward
T. Werner,Miss,97,58,Forward
M. Sabitzer,Miss,73,65,Midfielder
W. Orban,GOAL,94,47,Defender
T. Werner,Miss,94,35,Forward
T. Werner,GOAL,95,33,Forward
M. Sabitzer,Miss,75,62,Midfielder
Bruma,GOAL,87,32,Forward
Bruma,Miss,86,35,Forward
F. Kath,Miss,87,53,Midfielder
E. Forsberg,Miss,93,44,Midfielder
D. Kaiser,Miss,88,66,Midfielder
F. Kostić,Miss,70,42,Midfielder
Y. Ōsako,Miss,72,61,Forward
J. Córdoba,Miss,86,57,Forward
A. Hahn,GOAL,87,62,Forward
L. Bittencourt,Miss,75,71,Midfielder
L. Waldschmidt,Miss,78,62,Forward
B. Wood,GOAL,91,59,Forward
A. Hahn,Miss,72,22,Forward
J. Hector,Miss,73,60,Defender
J. Horn,Miss,78,49,Defender
J. Horn,Miss,82,32,Defender
A. Hahn,Miss,81,67,Forward
F. Kostić,Miss,72,34,Midfielder
F. Kostić,Miss,79,25,Midfielder
J. Córdoba,Miss,93,52,Forward
C. Clemens,Miss,86,36,Midfielder
Y. Ōsako,Miss,77,27,Forward
A. Ekdal,Miss,75,41,Midfielder
M. Lehmann,Miss,70,29,Midfielder
J. Córdoba,Miss,80,58,Forward
M. Jojić,Miss,81,37,Midfielder
S. Guirassy,Miss,95,42,Forward
F. Kostić,Miss,91,35,Midfielder
C. Clemens,Miss,77,39,Midfielder
S. Guirassy,Miss,93,53,Forward
F. Sørensen,GOAL,94,36,Defender
L. Holtby,GOAL,97,50,Midfielder
M. Jojić,Miss,88,60,Midfielder
F. Sørensen,Miss,82,52,Defender
M. Hummels,Miss,85,62,Defender
A. Robben,Miss,85,80,Midfielder
C. Tolisso,Miss,87,45,Midfielder
A. Vidal,Miss,82,37,Midfielder
A. Vidal,Miss,67,34,Midfielder
F. Ribéry,Miss,66,10,Midfielder
D. Alaba,Miss,69,22,Defender
A. Vidal,Miss,73,62,Midfielder
T. Delaney,Miss,90,60,Midfielder
L. Augustinsson,Miss,88,52,Defender
A. Robben,Miss,88,42,Midfielder
M. Kruse,Miss,81,37,Forward
J. Kimmich,Miss,68,65,Defender
Thiago Alcântara,Miss,72,50,Midfielder
