player,outcome,x,y,role
A. Gómez,Miss,80,41,Forward
E. Džeko,Miss,95,33,Forward
R. Nainggolan,Miss,72,63,Midfielder
G. Defrel,Miss,91,62,Forward
R. Gosens,Miss,86,26,Defender
A. Petagna,Miss,74,60,Forward
J. Kurtič,Miss,87,40,Midfielder
A. Petagna,Miss,91,32,Forward
A. Gómez,Miss,77,14,Forward
A. Petagna,Miss,91,33,Forward
E. Džeko,Miss,75,61,Forward
J. Kurtič,Miss,67,58,Midfielder
A. Petagna,Miss,88,51,Forward
A. Cornelius,Miss,94,65,Forward
E. Džeko,Miss,92,37,Forward
J. Iličić,Miss,71,66,Forward
A. Gómez,Miss,81,34,Forward
J. Iličić,Miss,75,54,Forward
J. Iličić,Miss,97,54,Forward
Rafael Tolói,Miss,88,45,Defender
J. Iličić,Miss,89,67,Forward
A. Masiello,Miss,88,42,Defender
A. Belotti,Miss,92,56,Forward
F. Di Francesco,Miss,92,36,Forward
F. Di Francesco,Miss,87,27,Forward
S. Verdi,Miss,77,59,Forward
A. Acquah,Miss,75,59,Midfielder
F. Di Francesco,Miss,97,62,Forward
S. Verdi,Miss,78,40,Forward
F. Di Francesco,GOAL,89,35,Forward
S. Verdi,Miss,93,72,Forward
A. Ljajić,GOAL,77,54,Forward
Iago Falqué,Miss,76,67,Forward
A. Ljajić,Miss,73,77,Forward
M. Destro,Miss,89,63,Forward
E. Pulgar,Miss,76,36,Midfielder
Iago Falqué,Miss,79,60,Forward
F. Di Francesco,Miss,94,29,Forward
F. Di Francesco,Miss,81,34,Forward
E. Pulgar,Miss,77,30,Midfielder
G. Donsah,Miss,74,61,Midfielder
F. Borini,Miss,94,63,Forward
H. Çalhanoğlu,Miss,70,19,Midfielder
A. Budimir,Miss,91,46,Forward
P. Cutrone,GOAL,97,53,Forward
A. Budimir,Miss,93,67,Forward
F. Kessié,Miss,91,59,Midfielder
Suso,GOAL,91,39,Forward
M. Locatelli,Miss,75,29,Midfielder
F. Borini,Miss,83,45,Forward
Suso,Miss,73,58,Forward
A. Conti,Miss,91,65,Defender
N. Dussenne,Miss,96,64,Defender
P. Cutrone,Miss,96,35,Forward
F. Kessié,Miss,87,48,Midfielder
André Silva,Miss,92,31,Forward
L. Cabrera,Miss,86,51,Defender
André Silva,Miss,92,49,Forward
J. Mauri,Miss,89,59,Midfielder
F. Kessié,Miss,76,70,Midfielder
André Silva,Miss,90,45,Forward
André Silva,Miss,91,57,Forward
A. Budimir,Miss,88,47,Forward
L. Insigne,Miss,84,49,Forward
L. Insigne,Miss,86,26,Forward
L. Insigne,Miss,83,34,Forward
M. Hamšík,Miss,75,58,Midfielder
Daniel Bessa,Miss,91,70,Midfielder
José Callejón,Miss,87,64,Forward
L. Insigne,Miss,87,62,Forward
M. Hamšík,Miss,83,32,Midfielder
A. Milik,GOAL,87,65,Forward
A. Cerci,Miss,95,24,Forward
M. Cáceres,Miss,89,59,Defender
M. Cáceres,Miss,88,36,Defender
L. Insigne,Miss,90,30,Forward
P. Zieliński,Miss,88,63,Midfielder
M. Hamšík,Miss,82,37,Midfielder
A. Cerci,Miss,88,40,Forward
D. Verde,Miss,40,24,Forward
V. Chiricheș,Miss,95,54,Defender
A. Milik,Miss,82,37,Forward
D. Mertens,Miss,76,48,Forward
D. Mertens,Miss,94,37,Forward
F. Ghoulam,GOAL,90,37,Defender
A. Diawara,Miss,69,39,Midfielder
D. Verde,Miss,72,65,Forward
L. Insigne,Miss,93,30,Forward
L. Insigne,Miss,88,33,Forward
G. Pazzini,Miss,90,35,Forward
M. Cáceres,Miss,94,57,Defender
A. Ferrari,Miss,91,60,Defender
M. Vecino,Miss,86,49,Midfielder
M. Vecino,Miss,74,29,Midfielder
I. Perišić,Miss,88,24,Midfielder
M. Icardi,GOAL,89,51,Forward
G. Simeone,Miss,84,49,Forward
M. Benassi,Miss,72,83,Midfielder
J. Veretout,Miss,70,53,Midfielder
M. Brozović,Miss,87,39,Midfielder
Gil Dias,Miss,85,71,Forward
G. Simeone,Miss,89,62,Forward
M. Olivera,Miss,78,30,Defender
A. Candreva,Miss,76,46,Midfielder
C. Sánchez,Miss,76,45,Midfielder
Gil Dias,Miss,78,72,Forward
M. Icardi,Miss,95,64,Forward
S. Cristóforo,Miss,75,56,Midfielder
D. Astori,Miss,88,38,Defender
I. Perišić,Miss,80,35,Midfielder
K. Babacar,Miss,76,50,Forward
A. Candreva,Miss,87,74,Midfielder
R. Gagliardini,Miss,94,68,Midfielder
Gil Dias,Miss,85,70,Forward
J. Veretout,Miss,80,69,Midfielder
J. Veretout,Miss,83,69,Midfielder
I. Perišić,GOAL,96,43,Midfielder
K. Babacar,Miss,71,46,Forward
M. Icardi,Miss,92,51,Forward
M. Mandžukić,GOAL,90,41,Forward
P. Dybala,Miss,76,47,Forward
Diego Farias,Miss,86,35,Forward
P. Faragò,Miss,93,54,Midfielder
G. Higuaín,Miss,71,48,Forward
C. Marchisio,Miss,79,29,Midfielder
P. Dybala,GOAL,87,58,Forward
P. Dybala,Miss,82,66,Forward
M. Mandžukić,Miss,92,39,Forward
G. Higuaín,Miss,87,59,Forward
P. Faragò,Miss,90,61,Midfielder
A. Ioniţă,Miss,83,50,Midfielder
G. Higuaín,GOAL,88,37,Forward
G. Higuaín,Miss,96,68,Forward
M. Mandžukić,Miss,76,32,Forward
P. Dybala,Miss,77,64,Forward
P. Dybala,Miss,82,35,Forward
M. Mandžukić,Miss,81,28,Forward
P. Dybala,Miss,86,59,Forward
F. Viviani,Miss,87,50,Midfielder
Ş. Radu,Miss,76,28,Defender
S. Milinković-Savić,Miss,87,75,Midfielder
M. Parolo,Miss,88,65,Midfielder
S. Milinković-Savić,Miss,93,33,Midfielder
S. Milinković-Savić,Miss,77,37,Midfielder
C. Immobile,Miss,85,32,Forward
P. Schiattarella,Miss,88,65,Midfielder
Luis Alberto,Miss,73,41,Midfielder
S. Floccari,Miss,92,54,Forward
D. Basta,Miss,64,57,Defender
S. Floccari,Miss,87,28,Forward
S. Väisänen,Miss,94,55,Defender
C. Immobile,Miss,87,36,Forward
M. Parolo,Miss,88,65,Midfielder
F. Viviani,Miss,74,52,Midfielder
C. Immobile,Miss,77,48,Forward
Ş. Radu,Miss,90,70,Defender
S. Milinković-Savić,Miss,86,47,Midfielder
S. Milinković-Savić,Miss,76,57,Midfielder
C. Immobile,Miss,90,68,Forward
S. Milinković-Savić,Miss,74,69,Midfielder
Luis Alberto,Miss,74,33,Midfielder
A. Marušić,Miss,88,72,Midfielder
S. Lulić,Miss,80,44,Midfielder
M. Borriello,Miss,73,57,Forward
C. Immobile,Miss,73,34,Forward
S. Milinković-Savić,Miss,87,63,Midfielder
S. Floccari,Miss,91,50,Forward
S. Milinković-Savić,Miss,73,71,Midfielder
F. Viviani,Miss,76,60,Midfielder
M. Coda,Miss,77,49,Forward
M. Coda,Miss,81,69,Forward
É. Barreto,Miss,80,55,Midfielder
D. Cataldi,Miss,74,34,Midfielder
A. Ciciretti,GOAL,86,61,Forward
M. Coda,Miss,89,57,Forward
L. Torreira,Miss,82,59,Midfielder
F. Quagliarella,Miss,79,56,Forward
G. Letizia,Miss,81,25,Defender
F. Quagliarella,Miss,97,35,Forward
M. D'Alessandro,Miss,86,27,Forward
É. Barreto,Miss,91,57,Midfielder
G. Ramírez,Miss,80,67,Midfielder
D. Cataldi,Miss,54,46,Midfielder
D. Praet,Miss,77,36,Midfielder
D. Praet,Miss,93,59,Midfielder
F. Quagliarella,GOAL,98,61,Forward
G. Puşcaş,Miss,82,65,Forward
G. Ramírez,Miss,92,36,Midfielder
A. Ciciretti,Miss,84,66,Forward
M. Coda,Miss,73,59,Forward
F. Quagliarella,GOAL,90,44,Forward
G. Puşcaş,Miss,96,49,Forward
G. Puşcaş,Miss,88,63,Forward
M. D'Alessandro,Miss,84,39,Forward
A. Ciciretti,Miss,82,74,Forward
G. Puşcaş,Miss,86,27,Forward
M. Silvestre,Miss,96,49,Defender
M. Coda,Miss,83,77,Forward
F. Bonazzoli,Miss,85,40,Forward
A. Duncan,Miss,82,27,Midfielder
D. Falcinelli,Miss,87,28,Forward
A. Bertolacci,Miss,82,63,Midfielder
A. Galabinov,Miss,90,58,Forward
A. Galabinov,Miss,76,61,Forward
S. Sensi,Miss,78,44,Midfielder
A. Galabinov,Miss,90,65,Forward
A. Taarabt,Miss,72,47,Midfielder
F. Peluso,Miss,93,31,Defender
Pol Lirola,Miss,72,62,Defender
D. Laxalt,Miss,77,32,Midfielder
D. Berardi,Miss,81,53,Forward
Miguel Veloso,Miss,75,65,Midfielder
G. Pandev,Miss,81,57,Forward
D. Falcinelli,Miss,89,45,Forward
P. Cannavaro,Miss,96,34,Defender
D. Biraschi,Miss,90,48,Defender
A. Galabinov,Miss,89,41,Forward
Pol Lirola,Miss,81,71,Defender
D. Berardi,Miss,78,64,Forward
D. Laxalt,Miss,95,28,Midfielder
A. Matri,Miss,93,66,Forward
E. Salcedo,Miss,81,53,Forward
P. Hetemaj,Miss,85,47,Midfielder
K. Lasagna,Miss,72,54,Forward
B. Nuytinck,Miss,89,42,Defender
R. de Paul,Miss,88,71,Midfielder
J. Jankto,Miss,83,35,Midfielder
K. Lasagna,Miss,84,49,Forward
R. Inglese,GOAL,93,40,Forward
V. Birsa,Miss,69,45,Midfielder
R. Inglese,Miss,87,46,Forward
M. Wagué,Miss,87,55,Defender
S. Fofana,Miss,77,46,Midfielder
C. Théréau,GOAL,86,50,Forward
V. Birsa,Miss,87,62,Midfielder
V. Birsa,Miss,89,28,Midfielder
L. Castro,Miss,93,58,Midfielder
G. Pezzella,Miss,70,51,Defender
V. Birsa,GOAL,69,75,Midfielder
V. Birsa,Miss,72,63,Midfielder
K. Lasagna,Miss,93,46,Forward
G. Pezzella,Miss,77,65,Defender
F. Cacciatore,Miss,91,59,Defender
K. Lasagna,Miss,86,48,Forward
E. Hallfreðsson,Miss,71,50,Midfielder
K. Lasagna,Miss,88,44,Forward
K. Lasagna,Miss,90,46,Forward
G. Angella,Miss,88,57,Defender
A. Ciciretti,Miss,95,64,Forward
F. Lucioni,Miss,90,71,Defender
M. Destro,Miss,92,63,Forward
M. Coda,Miss,84,26,Forward
M. Coda,Miss,94,71,Forward
G. Di Chiara,Miss,76,30,Defender
F. Ceravolo,Miss,94,37,Forward
F. Ceravolo,Miss,95,38,Forward
S. Taïder,Miss,85,31,Midfielder
A. Ciciretti,Miss,76,38,Forward
G. Donsah,GOAL,88,42,Midfielder
G. Puşcaş,Miss,74,44,Forward
S. Verdi,Miss,90,61,Forward
G. Donsah,Miss,71,66,Midfielder
F. Di Francesco,Miss,76,39,Forward
M. Destro,Miss,98,48,Forward
A. Ciciretti,Miss,75,72,Forward
M. Coda,Miss,81,30,Forward
M. D'Alessandro,Miss,90,30,Forward
D. Cataldi,Miss,75,23,Midfielder
S. Verdi,Miss,78,34,Forward
F. Lucioni,Miss,91,44,Defender
M. Destro,Miss,89,40,Forward
G. Puşcaş,Miss,90,45,Forward
M. Coda,Miss,90,35,Forward
C. Immobile,GOAL,98,54,Forward
L. Castro,Miss,93,34,Midfielder
R. Inglese,Miss,86,47,Forward
Wallace,Miss,70,67,Defender
L. Castro,Miss,92,56,Midfielder
I. Radovanović,Miss,68,57,Midfielder
