player,outcome,x,y,role
José Luis Morales,Miss,93,34,Midfielder
J. Lerma,Miss,80,59,Midfielder
C. Bacca,Miss,88,57,Forward
A. Rukavina,Miss,87,66,Defender
José Luis Morales,Miss,75,40,Midfielder
Jason,Miss,78,69,Midfielder
E. Bardhi,Miss,78,35,Midfielder
Campaña,Miss,89,65,Midfielder
Rodri,Miss,91,62,Midfielder
Pablo Fornals,Miss,85,63,Midfielder
C. Bacca,Miss,93,63,Forward
Jason,Miss,76,49,Midfielder
N. Sansone,Miss,90,28,Forward
Álvaro González,Miss,99,37,Defender
J. Lerma,Miss,76,52,Midfielder
E. Bardhi,Miss,72,59,Midfielder
Campaña,Miss,80,40,Midfielder
Chema,Miss,92,40,Defender
Jason,Miss,88,39,Midfielder
José Luis Morales,Miss,91,36,Midfielder
Ivi,Miss,97,35,Forward
Iago Aspas,Miss,85,70,Forward
Willian José,Miss,90,51,Forward
Iago Aspas,Miss,91,30,Forward
Iago Aspas,Miss,81,71,Forward
Maxi Gómez,GOAL,96,60,Forward
Canales,Miss,82,72,Midfielder
Hugo Mallo,Miss,92,65,Defender
Iago Aspas,Miss,87,69,Forward
Iago Aspas,Miss,85,39,Forward
Mikel Oyarzabal,GOAL,72,24,Midfielder
P. Sisto,Miss,84,24,Midfielder
Jozabed,Miss,81,38,Midfielder
Maxi Gómez,Miss,87,52,Forward
Willian José,Miss,95,65,Forward
Iago Aspas,Miss,90,54,Forward
Maxi Gómez,GOAL,91,37,Forward
Canales,Miss,84,66,Midfielder
P. Sisto,Miss,89,24,Midfielder
Odriozola,Miss,75,71,Defender
Iago Aspas,Miss,92,65,Forward
Willian José,Miss,88,40,Forward
Jonny,Miss,80,31,Defender
Juanmi,Miss,90,46,Forward
Illarramendi,Miss,71,47,Midfielder
Juanmi,GOAL,90,40,Forward
Markel Bergara,Miss,92,57,Midfielder
Muniain,Miss,84,61,Forward
Lekue,Miss,88,72,Defender
Iñaki Williams,Miss,94,68,Forward
San José,Miss,88,59,Midfielder
Iñaki Williams,Miss,90,36,Forward
G. Shibasaki,Miss,87,35,Midfielder
Álvaro Jiménez,Miss,79,71,Midfielder
Muniain,Miss,83,55,Forward
Djené,Miss,67,60,Defender
Juan Cala,Miss,93,46,Defender
Djené,Miss,93,45,Defender
Muniain,Miss,89,41,Forward
Beñat,Miss,71,54,Midfielder
Lekue,Miss,77,71,Defender
Iñaki Williams,Miss,91,73,Forward
Aduriz,Miss,91,45,Forward
Unai Núñez,Miss,93,49,Defender
Juanfran,Miss,73,55,Defender
Álex Granell,Miss,75,63,Midfielder
C. Stuani,Miss,75,38,Forward
Aday,Miss,79,24,Defender
Saúl,Miss,73,60,Midfielder
C. Stuani,GOAL,93,56,Forward
C. Stuani,GOAL,92,43,Forward
Y. Carrasco,Miss,82,38,Forward
A. Griezmann,Miss,87,55,Forward
Muniesa,Miss,86,48,Defender
Pere Pons,Miss,75,51,Midfielder
Borja García,Miss,86,25,Midfielder
Á. Correa,GOAL,78,61,Forward
C. Stuani,Miss,94,54,Forward
N. Gaitán,Miss,83,41,Midfielder
L. Vietto,Miss,90,66,Forward
J. Giménez,GOAL,90,44,Defender
Muniesa,Miss,91,60,Defender
O. Kayode,Miss,94,47,Forward
Léo Baptistão,Miss,88,52,Forward
Léo Baptistão,Miss,93,54,Forward
Gerard Moreno,Miss,84,60,Forward
Nolito,Miss,91,37,Forward
Léo Baptistão,Miss,92,40,Forward
C. Lenglet,GOAL,98,45,Defender
L. Muriel,Miss,86,34,Forward
P. Piatti,Miss,76,28,Forward
L. Muriel,Miss,91,44,Forward
Léo Baptistão,GOAL,89,52,Forward
P. Diop,Miss,81,28,Midfielder
Gerard Moreno,Miss,93,55,Forward
Ganso,Miss,78,64,Midfielder
Pablo Sarabia,Miss,90,25,Midfielder
Léo Baptistão,Miss,85,30,Forward
Jesús Navas,Miss,92,85,Midfielder
L. Muriel,Miss,90,40,Forward
L. Muriel,Miss,89,38,Forward
Nolito,Miss,86,26,Forward
Juanpi,Miss,86,51,Midfielder
Charles,Miss,96,43,Forward
Z. Kuzmanović,Miss,73,44,Midfielder
Juanpi,Miss,88,48,Midfielder
T. Inui,Miss,68,20,Midfielder
José Ángel,Miss,67,25,Defender
Charles,Miss,88,41,Forward
Joan Jordán,Miss,75,80,Midfielder
Charles,Miss,93,41,Forward
Dani García,Miss,73,59,Midfielder
Charles,GOAL,97,60,Forward
Rubén Peña,Miss,70,82,Midfielder
José Ángel,Miss,74,33,Defender
Borja Bastón,Miss,73,45,Forward
Juanpi,Miss,75,39,Midfielder
Rubén Peña,Miss,81,60,Midfielder
Z. Kuzmanović,Miss,83,56,Midfielder
T. Inui,Miss,88,35,Midfielder
Borja Bastón,Miss,92,64,Forward
Adrián,Miss,85,41,Midfielder
Deulofeu,Miss,90,56,Forward
L. Messi,Miss,82,61,Forward
Deulofeu,Miss,90,64,Forward
L. Messi,Miss,79,58,Forward
L. Messi,Miss,84,53,Forward
Sergio León,Miss,91,39,Forward
Sergi Roberto,Miss,91,33,Defender
Sergi Roberto,GOAL,91,47,Defender
L. Messi,Miss,81,42,Forward
Matías Nahuel,Miss,77,48,Midfielder
L. Messi,Miss,78,28,Forward
Paco Alcácer,Miss,84,31,Forward
L. Messi,Miss,91,43,Forward
L. Messi,Miss,86,60,Forward
Fabián,Miss,80,28,Midfielder
F. Andone,Miss,93,31,Forward
F. Andone,Miss,89,63,Forward
Z. Bakkali,Miss,97,48,Forward
T. Kroos,Miss,88,25,Midfielder
Guilherme,Miss,80,35,Midfielder
T. Kroos,Miss,93,38,Midfielder
L. Modrić,Miss,76,65,Midfielder
G. Bale,GOAL,97,52,Forward
Casemiro,GOAL,96,59,Midfielder
F. Andone,Miss,87,39,Forward
F. Andone,Miss,94,45,Forward
F. Andone,Miss,87,48,Forward
T. Kroos,Miss,90,43,Midfielder
Guilherme,Miss,74,57,Midfielder
T. Kroos,Miss,72,49,Midfielder
L. Modrić,Miss,90,44,Midfielder
F. Andone,Miss,92,42,Forward
T. Kroos,GOAL,85,36,Midfielder
Guilherme,Miss,95,70,Midfielder
Marcelo,Miss,87,29,Defender
G. Bale,Miss,71,70,Forward
Marcelo,Miss,94,31,Defender
Luisinho,Miss,72,20,Defender
