player,outcome,x,y,role
Yasir Al Shahrani,Miss,87,27,Defender
A. Samedov,Miss,90,69,Midfielder
Y. Zhirkov,Miss,86,30,Midfielder
Y. Gazinskiy,GOAL,93,60,Midfielder
Mohammad Al Sahlawi,Miss,86,38,Forward
Salem Al Dawsari,Miss,73,32,Midfielder
Yasir Al Shahrani,Miss,88,56,Defender
D. Cheryshev,GOAL,93,38,Midfielder
A. Samedov,Miss,80,67,Midfielder
Mohammad Al Sahlawi,Miss,92,60,Forward
D. Cheryshev,Miss,86,46,Midfielder
R. Zobnin,Miss,88,67,Midfielder
A. Dzyuba,GOAL,94,48,Forward
Salem Al Dawsari,Miss,69,31,Midfielder
R. Zobnin,Miss,90,59,Midfielder
Hattan Bahbir,Miss,87,69,Midfielder
D. Kuzyaev,Miss,70,40,Midfielder
D. Cheryshev,GOAL,86,29,Midfielder
E. Cavani,Miss,77,50,Forward
Trézéguet,Miss,90,57,Midfielder
L. Suárez,Miss,90,70,Forward
E. Cavani,Miss,82,32,Forward
L. Suárez,Miss,93,41,Forward
Marwan Mohsen,Miss,81,62,Forward
M. Vecino,Miss,71,79,Midfielder
Tarek Hamed,Miss,74,40,Midfielder
L. Suárez,Miss,93,61,Forward
Trézéguet,Miss,75,21,Midfielder
C. Sánchez,Miss,73,66,Midfielder
E. Cavani,Miss,89,58,Forward
Ahmed Fathy,Miss,79,79,Defender
Mohamed Elneny,Miss,89,63,Midfielder
E. Cavani,Miss,81,43,Forward
M. Cáceres,Miss,88,51,Defender
J. Giménez,GOAL,90,47,Defender
Mohamed Elneny,Miss,86,69,Midfielder
R. Zobnin,Miss,78,26,Midfielder
S. Ignashevich,Miss,89,46,Defender
A. Golovin,Miss,75,50,Midfielder
D. Cheryshev,Miss,80,57,Midfielder
Marwan Mohsen,Miss,95,42,Forward
Trézéguet,Miss,89,29,Midfielder
D. Cheryshev,Miss,74,36,Midfielder
Y. Gazinskiy,Miss,71,30,Midfielder
Trézéguet,Miss,77,36,Midfielder
Marwan Mohsen,Miss,94,32,Forward
Marwan Mohsen,Miss,94,36,Forward
D. Cheryshev,Miss,72,44,Midfielder
A. Dzyuba,Miss,91,62,Forward
Mohamed Salah,Miss,87,58,Forward
R. Zobnin,Miss,75,74,Midfielder
Mohamed Salah,Miss,88,37,Forward
D. Cheryshev,GOAL,93,58,Midfielder
A. Dzyuba,GOAL,89,60,Forward
Ali Gabr,Miss,89,58,Defender
Trézéguet,Miss,83,49,Midfielder
Abdallah Said,Miss,74,32,Midfielder
S. Ignashevich,Miss,96,38,Defender
Mohamed Salah,Miss,83,50,Forward
Amr Warda,Miss,82,72,Midfielder
L. Suárez,Miss,81,32,Forward
E. Cavani,Miss,91,37,Forward
C. Sánchez,Miss,96,23,Midfielder
Fahad Al Muwallad,Miss,94,76,Forward
L. Suárez,GOAL,94,54,Forward
E. Cavani,Miss,91,69,Forward
Hattan Bahbir,Miss,77,76,Midfielder
Hattan Bahbir,Miss,92,58,Midfielder
Salem Al Dawsari,Miss,72,51,Midfielder
C. Sánchez,Miss,93,63,Midfielder
L. Suárez,Miss,87,75,Forward
M. Cáceres,Miss,93,57,Defender
M. Cáceres,Miss,90,40,Defender
L. Torreira,Miss,75,44,Midfielder
E. Cavani,Miss,89,59,Forward
E. Cavani,Miss,87,48,Forward
L. Suárez,Miss,84,51,Forward
Yasir Al Shahrani,Miss,73,23,Defender
Mohammed Kanno,Miss,91,62,Midfielder
Yasir Al Shahrani,Miss,80,29,Defender
M. Vecino,Miss,71,42,Midfielder
D. Cheryshev,Miss,84,39,Midfielder
D. Laxalt,Miss,78,26,Midfielder
R. Bentancur,Miss,91,56,Midfielder
R. Bentancur,Miss,92,75,Midfielder
D. Godín,Miss,47,38,Defender
E. Cavani,Miss,87,42,Forward
R. Zobnin,Miss,77,74,Midfielder
A. Dzyuba,Miss,86,64,Forward
C. Rodríguez,Miss,75,30,Midfielder
E. Cavani,Miss,89,59,Forward
C. Rodríguez,Miss,82,28,Midfielder
D. Godín,Miss,95,50,Defender
E. Cavani,GOAL,99,49,Forward
L. Torreira,Miss,74,34,Midfielder
Hussain Al Mogahwi,Miss,77,69,Midfielder
Salem Al Dawsari,Miss,74,31,Midfielder
Salem Al Dawsari,Miss,81,55,Midfielder
Mohamed Salah,GOAL,82,65,Forward
Mohamed Salah,Miss,87,50,Forward
Hattan Bahbir,Miss,72,52,Midfielder
Yasir Al Shahrani,Miss,79,29,Defender
Mohammed Al Burayk,Miss,74,71,Defender
Trézéguet,Miss,87,40,Midfielder
Trézéguet,Miss,82,31,Midfielder
Salman Al Faraj,Miss,87,49,Midfielder
Abdullah Otayf,Miss,86,52,Midfielder
Hattan Bahbir,Miss,89,68,Midfielder
Trézéguet,Miss,87,45,Midfielder
Hussain Al Mogahwi,Miss,83,72,Midfielder
Hattan Bahbir,Miss,74,56,Midfielder
Hussain Al Mogahwi,Miss,76,47,Midfielder
Hussain Al Mogahwi,Miss,88,61,Midfielder
Muhannad Asiri,Miss,91,61,Forward
Mohamed Elneny,Miss,76,64,Midfielder
Amr Warda,Miss,81,29,Midfielder
Salem Al Dawsari,Miss,93,35,Midfielder
Hussain Al Mogahwi,Miss,88,54,Midfielder
Abdullah Otayf,Miss,78,72,Midfielder
Salem Al Dawsari,GOAL,95,66,Midfielder
David Silva,Miss,88,51,Midfielder
Gonçalo Guedes,Miss,71,64,Forward
David Silva,Miss,91,31,Midfielder
Diego Costa,GOAL,88,53,Forward
Isco,Miss,84,21,Midfielder
Iniesta,Miss,88,33,Midfielder
Sergio Busquets,Miss,92,51,Midfielder
Isco,Miss,81,67,Midfielder
Cristiano Ronaldo,GOAL,82,50,Forward
Bruno Fernandes,Miss,72,32,Midfielder
Diego Costa,GOAL,97,56,Forward
Nacho,GOAL,83,66,Defender
Diego Costa,Miss,93,48,Forward
Ricardo Quaresma,Miss,91,77,Forward
Iago Aspas,Miss,79,58,Forward
Ricardo Quaresma,Miss,87,39,Forward
A. Harit,Miss,85,31,Midfielder
Y. Belhanda,Miss,93,65,Midfielder
A. El Kaabi,Miss,85,49,Forward
Y. Belhanda,Miss,94,58,Midfielder
M. Benatia,Miss,88,57,Defender
S. Azmoun,Miss,93,49,Forward
A. Hakimi,Miss,86,25,Defender
Y. Belhanda,Miss,76,53,Midfielder
A. Harit,Miss,92,31,Midfielder
R. Cheshmi,Miss,94,72,Defender
S. Azmoun,Miss,91,70,Forward
A. Jahanbakhsh,Miss,87,71,Forward
E. Hajsafi,Miss,83,46,Defender
A. Harit,Miss,92,32,Midfielder
H. Ziyech,Miss,79,40,Midfielder
R. Saïss,Miss,93,48,Midfielder
H. Ziyech,Miss,77,66,Midfielder
M. da Costa,Miss,69,64,Defender
K. Boutaïb,Miss,89,41,Forward
Raphaël Guerreiro,Miss,69,51,Defender
Cristiano Ronaldo,GOAL,91,48,Forward
Cristiano Ronaldo,Miss,87,59,Forward
M. Boussoufa,Miss,90,61,Midfielder
M. Benatia,Miss,93,46,Defender
M. da Costa,Miss,89,61,Defender
H. Ziyech,Miss,88,31,Midfielder
H. Ziyech,Miss,75,29,Midfielder
K. El Ahmadi,Miss,71,26,Midfielder
Gonçalo Guedes,Miss,87,41,Forward
Y. Belhanda,Miss,93,52,Midfielder
Cristiano Ronaldo,Miss,86,64,Forward
Y. Belhanda,Miss,87,72,Midfielder
Y. Belhanda,Miss,90,54,Midfielder
M. Benatia,Miss,87,49,Defender
Cristiano Ronaldo,Miss,74,15,Forward
M. Benatia,Miss,91,56,Defender
N. Dirar,Miss,75,73,Midfielder
Bruno Fernandes,Miss,72,83,Midfielder
H. Ziyech,Miss,90,57,Midfielder
M. Benatia,Miss,88,48,Defender
Bruno Fernandes,Miss,71,20,Midfielder
Daniel Carvajal,Miss,81,77,Defender
V. Amiri,Miss,74,30,Midfielder
K. Ansarifard,Miss,76,50,Forward
David Silva,Miss,77,58,Midfielder
David Silva,Miss,93,51,Midfielder
Isco,Miss,76,76,Midfielder
David Silva,Miss,93,44,Midfielder
Isco,Miss,77,37,Midfielder
David Silva,Miss,88,59,Midfielder
Piqué,Miss,94,48,Defender
Sergio Busquets,Miss,78,52,Midfielder
Isco,Miss,88,60,Midfielder
K. Ansarifard,Miss,87,39,Forward
Diego Costa,GOAL,90,42,Forward
