=== Augsburg ===
P. Max: 16 assists
Caiuby: 11 assists
A. Finnbogason: 8 assists
D. Baier: 6 assists
J. Schmid: 6 assists
R. Framberger: 6 assists
M. Heller: 5 assists
M. Richter: 5 assists
D. Opare: 4 assists
M. Hinteregger: 3 assists
M. Gregoritsch: 3 assists
Ja-Cheol Koo: 3 assists
R. Khedira: 3 assists
E. Thommy: 2 assists
S. Córdova: 2 assists
J. Morávek: 2 assists
K. Danso: 1 assists
J. Gouweleeuw: 1 assists

=== Bayer Leverkusen ===
L. Bailey: 14 assists
J. Brandt: 12 assists
Wendell: 11 assists
K. Volland: 10 assists
K. Bellarabi: 8 assists
K. Havertz: 8 assists
A. Mehmedi: 6 assists
D. Kohr: 5 assists
B. Henrichs: 4 assists
J. Tah: 4 assists
L. Bender: 4 assists
J. Baumgartlinger: 2 assists
L. Alario: 2 assists
P. Retsos: 1 assists
C. Aránguiz: 1 assists
T. Jedvaj: 1 assists

=== Bayern München ===
T. Müller: 19 assists
J. Rodríguez: 13 assists
J. Kimmich: 11 assists
Rafinha: 11 assists
F. Ribéry: 10 assists
A. Robben: 8 assists
K. Coman: 8 assists
C. Tolisso: 7 assists
J. Boateng: 6 assists
D. Alaba: 5 assists
R. Lewandowski: 4 assists
A. Vidal: 4 assists
Juan Bernat: 4 assists
Javi Martínez: 4 assists
Thiago Alcântara: 3 assists
N. Süle: 2 assists
M. Hummels: 2 assists
M. Friedl: 1 assists
S. Rudy: 1 assists
F. Evina: 1 assists

=== Borussia Dortmund ===
M. Götze: 16 assists
C. Pulisic: 12 assists
A. Yarmolenko: 11 assists
G. Castro: 8 assists
M. Reus: 8 assists
A. Schürrle: 7 assists
N. Şahin: 6 assists
Ł. Piszczek: 6 assists
M. Philipp: 4 assists
S. Kagawa: 4 assists
J. Toljan: 4 assists
M. Dahoud: 4 assists
J. Sancho: 4 assists
P. Aubameyang: 3 assists
S. Papastathopoulos: 2 assists
D. Zagadou: 1 assists
Bartra: 1 assists
J. Weigl: 1 assists
A. Isak: 1 assists
M. Batshuayi: 1 assists
M. Akanji: 1 assists
M. Schmelzer: 1 assists

=== Borussia M'gladbach ===
T. Hazard: 14 assists
Raffael: 13 assists
L. Stindl: 13 assists
V. Grifo: 7 assists
M. Cuisance: 6 assists
O. Wendt: 5 assists
P. Herrmann: 5 assists
N. Elvedi: 4 assists
I. Traoré: 3 assists
C. Kramer: 3 assists
J. Hofmann: 3 assists
L. Bénes: 2 assists
R. Bobadilla: 2 assists
F. Johnson: 2 assists
D. Zakaria: 2 assists
J. Vestergaard: 1 assists
M. Ginter: 1 assists

=== Eintracht Frankfurt ===
J. Willems: 14 assists
A. Rebić: 11 assists
M. Wolf: 11 assists
S. Haller: 8 assists
T. Chandler: 8 assists
D. da Costa: 8 assists
M. Gaćinović: 5 assists
K. Boateng: 5 assists
J. de Guzmán: 4 assists
T. Tawatha: 3 assists
M. Fabián: 3 assists
L. Jović: 2 assists
A. Barkok: 2 assists
D. Kamada: 1 assists
D. Abraham: 1 assists
Omar Mascarell: 1 assists
S. Falette: 1 assists

=== Freiburg ===
C. Günter: 17 assists
M. Terrazzino: 11 assists
N. Petersen: 11 assists
J. Haberer: 10 assists
Y. Ravet: 5 assists
P. Stenzel: 5 assists
F. Kath: 3 assists
T. Kleindienst: 3 assists
A. Abrashi: 2 assists
F. Niederlechner: 1 assists
J. Schuster: 1 assists
M. Frantz: 1 assists
B. Kapustka: 1 assists
M. Gulde: 1 assists
M. Kempf: 1 assists

=== Hamburger SV ===
F. Kostić: 11 assists
A. Hunt: 11 assists
Douglas Santos: 6 assists
A. Hahn: 4 assists
L. Holtby: 4 assists
D. Diekmeier: 4 assists
G. Sakai: 4 assists
T. Ito: 3 assists
