=== Augsburg ===
M. Gregoritsch: 12 goals
A. Finnbogason: 9 goals
Caiuby: 5 goals
S. Córdova: 2 goals
K. Danso: 2 goals
Ja-Cheol Koo: 2 goals
M. Richter: 1 goals
G. Kačar: 1 goals
R. Khedira: 1 goals
P. Max: 1 goals

=== Bayer Leverkusen ===
K. Volland: 14 goals
J. Brandt: 9 goals
L. Bailey: 9 goals
L. Alario: 8 goals
K. Havertz: 3 goals
A. Mehmedi: 2 goals
L. Bender: 2 goals
S. Bender: 2 goals
K. Bellarabi: 1 goals
D. Kohr: 1 goals
C. Aránguiz: 1 goals
J. Pohjanpalo: 1 goals
J. Baumgartlinger: 1 goals
P. Retsos: 1 goals

=== Bayern München ===
R. Lewandowski: 23 goals
T. Müller: 8 goals
S. Wagner: 8 goals
C. Tolisso: 6 goals
J. Rodríguez: 6 goals
A. Vidal: 6 goals
A. Robben: 5 goals
F. Ribéry: 5 goals
K. Coman: 3 goals
N. Süle: 2 goals
Thiago Alcântara: 2 goals
D. Alaba: 2 goals
M. Hummels: 1 goals
J. Kimmich: 1 goals
Javi Martínez: 1 goals
J. Boateng: 1 goals
S. Rudy: 1 goals
N. Dorsch: 1 goals
Rafinha: 1 goals

=== Borussia Dortmund ===
P. Aubameyang: 10 goals
M. Philipp: 9 goals
M. Batshuayi: 7 goals
M. Reus: 7 goals
S. Kagawa: 5 goals
C. Pulisic: 4 goals
A. Yarmolenko: 3 goals
Bartra: 2 goals
N. Şahin: 2 goals
S. Papastathopoulos: 2 goals
M. Götze: 2 goals
J. Weigl: 1 goals
D. Zagadou: 1 goals
Raphaël Guerreiro: 1 goals
J. Toljan: 1 goals
A. Schürrle: 1 goals
J. Sancho: 1 goals

=== Borussia M'gladbach ===
Raffael: 8 goals
L. Stindl: 6 goals
M. Ginter: 5 goals
T. Hazard: 5 goals
J. Drmic: 4 goals
J. Vestergaard: 3 goals
N. Elvedi: 2 goals
D. Zakaria: 2 goals
C. Kramer: 2 goals
O. Wendt: 1 goals
F. Johnson: 1 goals

=== Eintracht Frankfurt ===
L. Jović: 8 goals
S. Haller: 7 goals
K. Boateng: 6 goals
A. Rebić: 6 goals
M. Wolf: 5 goals
T. Chandler: 2 goals
M. Gaćinović: 1 goals
M. Russ: 1 goals
S. Falette: 1 goals
D. da Costa: 1 goals
D. Blum: 1 goals
M. Fabián: 1 goals
Omar Mascarell: 1 goals
A. Meier: 1 goals

=== Freiburg ===
N. Petersen: 10 goals
F. Niederlechner: 2 goals
J. Haberer: 2 goals
R. Koch: 2 goals
T. Kleindienst: 2 goals
C. Söyüncü: 1 goals
P. Stenzel: 1 goals
B. Kapustka: 1 goals
F. Kath: 1 goals
C. Günter: 1 goals
M. Gulde: 1 goals
L. Höler: 1 goals
N. Höfler: 1 goals

=== Hamburger SV ===
L. Holtby: 6 goals
F. Kostić: 4 goals
A. Hahn: 3 goals
J. Arp: 2 goals
N. Müller: 1 goals
B. Wood: 1 goals
Walace: 1 goals
G. Jung: 1 goals
K. Papadopoulos: 1 goals
Douglas Santos: 1 goals
A. Hunt: 1 goals
L. Waldschmidt: 1 goals

=== Hannover 96 ===
N. Füllkrug: 11 goals
M. Harnik: 9 goals
I. Bebou: 5 goals
S. Sané: 4 goals
F. Klaus: 3 goals
Jonathas: 2 goals
C. Benschop: 1 goals
J. Korb: 1 goals
I. Fossum: 1 goals
W. Anton: 1 goals
K. Karaman: 1 goals

=== Hertha BSC ===
S. Kalou: 11 goals
D. Selke: 9 goals
M. Leckie: 5 goals
V. Ibišević: 5 goals
A. Esswein: 2 goals
K. Rekik: 2 goals
O. Duda: 1 goals
N. Stark: 1 goals
M. Weiser: 1 goals
J. Torunarigha: 1 goals
V. Lazaro: 1 goals

=== Hoffenheim ===
M. Uth: 14 goals
S. Gnabry: 10 goals
A. Kramarić: 9 goals
Á. Szalai: 5 goals
S. Wagner: 3 goals
L. Rupp: 3 goals
B. Hübner: 3 goals
N. Amiri: 2 goals
D. Geiger: 2 goals
P. Kadeřábek: 2 goals
R. Hack: 1 goals
K. Demirbay: 1 goals
N. Schulz: 1 goals
F. Grillitsch: 1 goals
S. Zuber: 1 goals

=== Köln ===
L. Bittencourt: 5 goals
Y. Ōsako: 4 goals
S. Terodde: 4 goals
F. Sørensen: 2 goals
S. Guirassy: 2 goals
S. Zoller: 2 goals
J. Hector: 2 goals
D. Heintz: 1 goals
L. Klünter: 1 goals
C. Clemens: 1 goals
Jorge Meré: 1 goals
V. Koziello: 1 goals
C. Pizarro: 1 goals

=== Mainz 05 ===
Y. Muto: 8 goals
E. Berggreen: 4 goals
R. Quaison: 4 goals
A. Diallo: 2 goals
S. Serdar: 2 goals
D. Latza: 2 goals
A. Maxim: 2 goals
G. Holtmann: 2 goals
P. De Blasis: 2 goals
R. Baku: 2 goals
S. Bell: 1 goals
F. Frei: 1 goals
A. Hack: 1 goals
J. Gbamin: 1 goals

=== RB Leipzig ===
T. Werner: 11 goals
J. Augustin: 8 goals
A. Lookman: 5 goals
Bruma: 4 goals
N. Keïta: 4 goals
Y. Poulsen: 4 goals
W. Orban: 3 goals
M. Sabitzer: 3 goals
D. Upamecano: 3 goals
M. Halstenberg: 2 goals
L. Klostermann: 1 goals
Bernardo: 1 goals
K. Kampl: 1 goals
E. Forsberg: 1 goals

=== Schalke 04 ===
G. Burgstaller: 11 goals
Naldo: 6 goals
Y. Konoplyanka: 4 goals
D. Caligiuri: 3 goals
B. Embolo: 3 goals
L. Goretzka: 2 goals
A. Harit: 2 goals
F. Di Santo: 2 goals
M. Pjaca: 2 goals
T. Kehrer: 2 goals

=== Stuttgart ===
M. Gómez: 8 goals
D. Ginczek: 6 goals
C. Akolo: 5 goals
H. Badstuber: 2 goals
S. Terodde: 2 goals
A. Donis: 2 goals
E. Thommy: 2 goals
C. Gentner: 2 goals
B. Pavard: 1 goals
J. Brekalo: 1 goals
T. Asano: 1 goals
A. Beck: 1 goals
B. Özcan: 1 goals

=== Werder Bremen ===
M. Kruse: 6 goals
I. Belfodil: 4 goals
T. Delaney: 3 goals
T. Gebre Selassie: 3 goals
F. Kainz: 3 goals
F. Bartels: 2 goals
N. Moisander: 2 goals
M. Eggestein: 2 goals
Z. Junuzović: 2 goals
L. Sané: 1 goals
P. Bargfrede: 1 goals
J. Gondorf: 1 goals
L. Augustinsson: 1 goals
A. Jóhannsson: 1 goals
M. Veljkovic: 1 goals
M. Rashica: 1 goals

=== Wolfsburg ===
D. Didavi: 8 goals
D. Origi: 6 goals
Y. Mallı: 5 goals
J. Guilavogui: 3 goals
J. Brekalo: 2 goals
J. Błaszczykowski: 1 goals
F. Uduokhai: 1 goals
M. Gómez: 1 goals
Y. Gerhardt: 1 goals
P. Verhaegh: 1 goals
A. Mehmedi: 1 goals
R. Knoche: 1 goals

