=== Augsburg ===
M. Hitz: 86.32% (606/702)
Ja-Cheol Koo: 83.58% (616/737)
J. Gouweleeuw: 81.79% (898/1098)
M. Hinteregger: 81.37% (1035/1272)
R. Khedira: 79.39% (651/820)
D. Baier: 78.07% (1164/1491)
J. Schmid: 77.01% (345/448)
K. Danso: 76.40% (369/483)
M. Gregoritsch: 74.56% (504/676)
A. Finnbogason: 72.64% (292/402)
Caiuby: 72.53% (647/892)
P. Max: 72.51% (844/1164)
D. Opare: 66.52% (294/442)

=== Bayer Leverkusen ===
J. Baumgartlinger: 91.99% (827/899)
S. Bender: 90.36% (1331/1473)
B. Leno: 89.81% (793/883)
J. Tah: 89.04% (1218/1368)
C. Aránguiz: 87.83% (1443/1643)
P. Retsos: 86.82% (896/1032)
D. Kohr: 85.33% (756/886)
K. Havertz: 84.62% (853/1008)
Wendell: 84.44% (982/1163)
L. Bender: 81.80% (674/824)
J. Brandt: 80.73% (951/1178)
B. Henrichs: 77.05% (517/671)
L. Bailey: 76.43% (694/908)
K. Volland: 75.70% (542/716)
K. Bellarabi: 75.64% (385/509)

=== Bayern München ===
N. Süle: 92.87% (1446/1557)
Thiago Alcântara: 92.85% (1155/1244)
Javi Martínez: 91.73% (1021/1113)
C. Tolisso: 90.97% (1108/1218)
A. Vidal: 90.71% (1006/1109)
M. Hummels: 89.79% (1732/1929)
Rafinha: 89.63% (1435/1601)
S. Rudy: 89.44% (906/1013)
J. Rodríguez: 88.66% (1282/1446)
J. Kimmich: 87.97% (1631/1854)
J. Boateng: 87.51% (1212/1385)
D. Alaba: 86.82% (1008/1161)
S. Ulreich: 86.05% (629/731)
A. Robben: 84.99% (640/753)
F. Ribéry: 84.75% (650/767)
K. Coman: 82.85% (483/583)
R. Lewandowski: 80.40% (447/556)
T. Müller: 75.47% (723/958)

=== Borussia Dortmund ===
Ö. Toprak: 92.09% (1595/1732)
S. Papastathopoulos: 90.06% (1585/1760)
M. Akanji: 88.28% (512/580)
J. Weigl: 88.12% (1031/1170)
S. Kagawa: 87.34% (621/711)
G. Castro: 87.16% (665/763)
N. Şahin: 87.07% (882/1013)
R. Bürki: 86.95% (793/912)
M. Dahoud: 84.66% (563/665)
M. Schmelzer: 84.11% (905/1076)
Bartra: 83.52% (512/613)
J. Toljan: 83.33% (570/684)
M. Götze: 83.21% (798/959)
Ł. Piszczek: 82.09% (1077/1312)
A. Schürrle: 77.87% (394/506)
C. Pulisic: 77.02% (657/853)

=== Borussia M'gladbach ===
D. Zakaria: 92.15% (880/955)
M. Ginter: 90.11% (1732/1922)
C. Kramer: 89.29% (1267/1419)
J. Vestergaard: 88.52% (1619/1829)
Y. Sommer: 87.83% (787/896)
N. Elvedi: 86.41% (1246/1442)
L. Stindl: 85.04% (1285/1511)
M. Cuisance: 83.68% (518/619)
Raffael: 83.12% (635/764)
O. Wendt: 79.89% (878/1099)
T. Hazard: 77.47% (911/1176)

=== Eintracht Frankfurt ===
M. Hasebe: 89.14% (985/1105)
L. Hradecky: 87.57% (775/885)
Omar Mascarell: 86.19% (387/449)
D. Abraham: 85.74% (1058/1234)
C. Salcedo: 85.38% (777/910)
M. Russ: 84.44% (456/540)
G. Fernandes: 84.15% (276/328)
J. de Guzmán: 82.74% (465/562)
S. Falette: 81.35% (925/1137)
K. Boateng: 79.94% (797/997)
J. Willems: 76.56% (441/576)
S. Haller: 75.76% (425/561)
D. da Costa: 75.09% (416/554)
M. Gaćinović: 74.37% (444/597)
T. Chandler: 71.06% (496/698)
M. Wolf: 70.30% (580/825)
A. Rebić: 60.00% (267/445)

=== Freiburg ===
N. Höfler: 89.40% (1029/1151)
J. Schuster: 89.32% (552/618)
M. Gulde: 87.33% (648/742)
A. Schwolow: 87.21% (784/899)
C. Söyüncü: 87.19% (912/1046)
P. Lienhart: 85.71% (336/392)
M. Kempf: 84.89% (410/483)
R. Koch: 84.13% (758/901)
M. Terrazzino: 81.97% (482/588)
L. Kübler: 81.31% (322/396)
P. Stenzel: 78.50% (661/842)
J. Haberer: 75.39% (726/963)
C. Günter: 74.40% (924/1242)
N. Petersen: 70.02% (348/497)

=== Hamburger SV ===
J. Pollersbeck: 87.18% (374/429)
M. Steinmann: 86.20% (331/384)
Walace: 83.11% (492/592)
M. Mavraj: 82.37% (542/658)
A. Ekdal: 81.57% (425/521)
C. Mathenia: 81.40% (350/430)
G. Jung: 81.32% (801/985)
K. Papadopoulos: 79.96% (846/1058)
A. Hunt: 79.60% (749/941)
G. Sakai: 79.47% (898/1130)
L. Holtby: 79.39% (416/524)
T. Ito: 79.18% (289/365)
B. Wood: 78.32% (224/286)
R. van Drongelen: 77.69% (477/614)
Douglas Santos: 75.68% (834/1102)
D. Diekmeier: 67.54% (412/610)
F. Kostić: 64.06% (451/704)
A. Hahn: 57.29% (169/295)

=== Hannover 96 ===
P. Tschauner: 88.53% (633/715)
S. Sané: 87.56% (1365/1559)
P. Schwegler: 84.39% (930/1102)
W. Anton: 83.56% (940/1125)
I. Fossum: 83.01% (518/624)
F. Klaus: 76.10% (465/611)
I. Bebou: 74.35% (432/581)
M. Bakalorz: 73.59% (432/587)
O. Sorg: 73.57% (490/666)
M. Harnik: 71.07% (371/522)
J. Korb: 70.90% (636/897)
N. Füllkrug: 69.55% (418/601)
M. Ostrzolek: 69.34% (665/959)

=== Hertha BSC ===
K. Rekik: 89.02% (1135/1275)
S. Langkamp: 88.95% (467/525)
P. Skjelbred: 86.66% (929/1072)
F. Lustenberger: 86.21% (700/812)
A. Maier: 84.85% (521/614)
N. Stark: 84.03% (863/1027)
R. Jarstein: 83.88% (619/738)
J. Torunarigha: 83.28% (274/329)
M. Plattenhardt: 81.56% (1048/1285)
P. Pekarík: 81.09% (489/603)
V. Darida: 80.51% (764/949)
M. Leckie: 78.01% (525/673)
V. Lazaro: 75.46% (452/599)
M. Weiser: 73.94% (678/917)
S. Kalou: 73.66% (439/596)
D. Selke: 67.32% (239/355)

=== Hoffenheim ===
K. Vogt: 90.73% (1928/2125)
H. Nordtveit: 90.48% (494/546)
K. Akpoguma: 87.97% (841/956)
D. Geiger: 87.66% (675/770)
