eventName,subEventName,startX,startY,endX,endY,tags
Pass,High pass,56,48,89,58,"901, 1802"
Pass,Simple pass,92,5,89,13,1801
Pass,Simple pass,89,16,79,32,1801
Pass,Simple pass,76,9,50,0,1802
Others on the ball,Touch,52,6,54,7,
Duel,Ground loose ball duel,54,7,53,12,"703, 1801"
Pass,Simple pass,53,12,56,16,1801
Duel,Ground attacking duel,58,25,55,42,"501, 703, 1801"
Pass,Simple pass,55,42,57,54,1801
Pass,Simple pass,85,89,72,79,1801
Pass,Simple pass,46,27,44,37,1801
Duel,Ground attacking duel,50,41,48,42,"503, 703, 1801"
Duel,Ground attacking duel,48,42,49,39,"703, 1801"
Pass,Smart pass,75,41,84,38,"901, 1802"
Others on the ball,Touch,24,50,29,26,1302
Duel,Ground attacking duel,56,38,65,47,"703, 1801"
Pass,Simple pass,65,47,56,58,1801
Pass,Simple pass,69,39,74,47,1801
Pass,Simple pass,61,31,64,22,1801
Pass,Simple pass,73,30,88,27,1801
Pass,Simple pass,48,55,73,64,1801
Duel,Ground attacking duel,51,25,45,22,"702, 1801"
Pass,Simple pass,45,22,34,33,1801
Pass,High pass,54,50,73,64,"901, 1802"
Pass,Simple pass,69,36,80,52,1801
Duel,Ground attacking duel,78,49,86,50,"503, 702, 1801"
Duel,Ground loose ball duel,86,50,84,39,"701, 1802"
Pass,Simple pass,76,12,73,19,1801
Pass,Simple pass,72,48,69,37,1801
Pass,Simple pass,72,42,64,37,1802
Pass,Simple pass,62,35,65,28,1801
Pass,Simple pass,67,34,69,53,1801
Pass,Smart pass,75,45,82,53,1801
Pass,Simple pass,55,25,76,59,1802
Duel,Ground attacking duel,56,27,61,23,"502, 703, 1801"
Pass,Simple pass,61,23,63,12,1801
Pass,Smart pass,71,51,74,75,"901, 1802"
Others on the ball,Acceleration,48,28,70,36,"1901, 1801"
Pass,Simple pass,70,36,69,53,"1901, 1801"
Others on the ball,Acceleration,67,35,77,50,1801
Duel,Ground attacking duel,77,50,81,55,"501, 703, 1801"
Shot,Shot,81,55,100,100,"402, 201, 1216, 1802"
Pass,Simple pass,45,4,35,7,1801
Pass,Simple pass,47,5,60,8,1801
Duel,Ground loose ball duel,59,5,67,0,"702, 1801"
Duel,Ground attacking duel,69,49,67,68,"504, 703, 1801"
Pass,Simple pass,67,68,69,64,1801
Free Kick,Corner,100,100,85,43,"801, 1801"
Pass,Simple pass,54,93,46,42,1801
Pass,Simple pass,71,62,67,76,1802
Pass,High pass,58,40,69,21,1802
Pass,Simple pass,68,23,68,73,1801
Pass,Simple pass,73,34,75,35,1801
Pass,Simple pass,72,54,70,66,1801
Pass,Simple pass,75,61,70,54,1801
Pass,Simple pass,85,14,88,6,1801
Pass,Smart pass,69,34,87,47,"901, 1802"
Pass,Simple pass,43,5,31,20,1801
Pass,Simple pass,47,42,44,76,1801
Pass,Simple pass,53,38,60,16,1802
Duel,Ground defending duel,61,8,44,0,"503, 702, 1801"
Duel,Ground attacking duel,79,84,82,100,"702, 1801"
Pass,Simple pass,84,96,65,91,1801
Duel,Ground attacking duel,85,93,76,68,"502, 703, 1801"
Pass,Cross,76,68,91,43,"302, 402, 801, 1801"
Pass,Simple pass,67,30,71,35,1801
Duel,Ground attacking duel,71,35,71,30,"703, 1801"
Free Kick,Corner,100,0,88,7,1801
Pass,Cross,78,4,100,100,"402, 801, 1802"
Pass,Simple pass,69,5,87,6,1801
Others on the ball,Acceleration,76,11,69,11,"1901, 1802"
Duel,Ground attacking duel,89,33,92,42,"503, 701, 1802"
Duel,Ground attacking duel,64,24,71,32,"504, 703, 1801"
Duel,Ground attacking duel,71,32,64,31,"504, 703, 1801"
Duel,Ground attacking duel,90,31,86,35,"501, 703, 1801"
Pass,Smart pass,86,35,93,33,1801
Pass,Smart pass,58,55,97,73,"901, 1801"
Pass,Simple pass,65,29,70,3,1801
Pass,Smart pass,78,30,92,16,1801
Duel,Ground attacking duel,73,8,67,6,"501, 602, 703, 1801"
Pass,Simple pass,67,6,68,6,1801
Pass,Simple pass,20,5,2,12,1801
Duel,Ground attacking duel,10,10,10,4,"503, 703, 1801"
Pass,Head pass,10,4,19,10,1801
Pass,Simple pass,59,38,75,33,1802
Pass,High pass,67,40,82,49,"901, 1802"
Duel,Ground attacking duel,76,50,82,38,"504, 703, 1801"
Pass,Simple pass,82,38,81,55,1802
Duel,Ground attacking duel,75,45,83,37,"502, 703, 1801"
Pass,Simple pass,83,37,93,13,1801
Duel,Ground attacking duel,77,35,78,36,"504, 703, 1801"
Duel,Ground attacking duel,78,36,78,46,"503, 703, 1801"
Duel,Ground attacking duel,78,46,83,51,"703, 1801"
Pass,Simple pass,83,51,75,48,1801
Duel,Ground attacking duel,55,45,56,44,"703, 1801"
Pass,Simple pass,72,51,70,11,1801
Pass,Simple pass,72,37,80,43,"302, 1801"
Pass,Simple pass,38,7,45,23,1801
Pass,Smart pass,73,56,82,79,1802
Pass,Simple pass,70,51,72,46,1801
Pass,Simple pass,95,7,88,7,1801
Others on the ball,Touch,67,57,66,63,
Duel,Ground loose ball duel,66,63,66,63,"701, 1802"
Pass,High pass,66,49,82,0,1802
Pass,Simple pass,61,38,51,50,"1901, 1801"
Others on the ball,Acceleration,69,49,78,52,"1901, 1801"
Duel,Ground attacking duel,78,52,90,68,"1901, 504, 703, 1801"
Duel,Ground attacking duel,90,68,100,100,"1901, 504, 702, 1801"
Pass,Simple pass,84,94,78,75,1801
Duel,Ground attacking duel,20,7,23,4,"1901, 503, 703, 1801"
Others on the ball,Acceleration,23,4,66,31,"1901, 1801"
Pass,Simple pass,66,31,69,6,1801
Duel,Ground attacking duel,88,62,90,82,"703, 1801"
Pass,Simple pass,90,82,90,67,"302, 1801"
Pass,Simple pass,62,39,43,28,"1901, 1801"
Others on the ball,Acceleration,23,24,58,30,"1901, 1801"
Pass,Smart pass,58,30,86,43,"301, 901, 1801"
Pass,Head pass,71,46,64,16,1802
Duel,Ground attacking duel,72,39,82,47,"503, 703, 1801"
Shot,Shot,82,47,100,100,"402, 2101, 1802"
Pass,Simple pass,72,47,75,39,1801
Duel,Ground attacking duel,95,25,87,42,"501, 703, 1801"
Pass,Simple pass,87,42,91,30,1801
Duel,Ground attacking duel,87,39,90,36,"602, 701, 1802"
Duel,Ground attacking duel,49,43,67,57,"1901, 501, 703, 1801"
Pass,Simple pass,67,57,86,72,1801
Pass,Simple pass,76,31,86,42,1801
Duel,Ground attacking duel,92,23,100,0,"502, 702, 1801"
Free Kick,Corner,100,0,95,13,1801
Free Kick,Throw in,76,0,66,26,1801
Duel,Ground attacking duel,48,34,52,33,"503, 703, 1801"
Pass,Simple pass,65,49,66,53,1801
Pass,Simple pass,69,45,72,48,1801
Pass,Simple pass,70,53,70,51,1801
Duel,Ground attacking duel,73,62,76,64,"501, 703, 1801"
Shot,Shot,76,64,100,100,"402, 2101, 1802"
Pass,Smart pass,72,63,92,60,"302, 901, 1801"
Duel,Ground attacking duel,87,30,85,38,"501, 703, 1801"
Shot,Shot,85,38,100,100,"402, 201, 1201, 1801"
Pass,Simple pass,70,31,94,24,1801
Duel,Ground loose ball duel,89,54,97,24,"703, 1801"
Shot,Shot,93,48,100,100,"101, 402, 201, 1203, 1801"
Pass,Simple pass,34,10,25,33,1801
Pass,Simple pass,74,18,68,22,1801
Pass,Simple pass,73,14,64,30,1802
Pass,Simple pass,52,54,67,51,1801
Pass,Simple pass,67,31,73,49,1802
Duel,Ground attacking duel,80,49,84,60,"1901, 501, 703, 1801"
Duel,Ground attacking duel,84,60,92,64,"1901, 501, 703, 1801"
Duel,Ground attacking duel,92,64,97,62,"501, 703, 1801"
Pass,Cross,97,62,100,68,"402, 801, 1802"
Pass,Simple pass,68,17,55,20,1801
Duel,Ground attacking duel,59,9,67,5,"503, 703, 1801"
Duel,Ground attacking duel,90,9,90,4,"702, 1801"
Duel,Ground attacking duel,90,4,87,6,"701, 1802"
Pass,Simple pass,56,34,42,29,1801
Offside,,78,23,0,0,
Pass,Simple pass,91,28,12,8,"1901, 1801"
Others on the ball,Touch,73,38,75,31,1302
Duel,Ground attacking duel,74,6,75,0,"702, 1801"
Pass,Cross,74,15,0,0,"402, 2101, 1802"
Duel,Ground attacking duel,59,27,70,36,"504, 703, 1801"
Duel,Ground attacking duel,70,36,67,59,"501, 703, 1801"
Pass,Simple pass,67,59,62,67,"2001, 1802"
Pass,Simple pass,88,33,91,54,"1901, 1802"
