eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,35,33,40,56,1801
Pass,Simple pass,51,29,68,29,1801
Pass,Simple pass,52,33,60,11,1801
Pass,Simple pass,51,33,48,68,1801
Pass,Simple pass,51,56,37,50,1801
Pass,Head pass,4,56,0,63,"1401, 1802"
Pass,Simple pass,21,21,29,26,1801
Duel,Air duel,37,6,12,31,"701, 1802"
Pass,Simple pass,45,8,56,52,1801
Pass,Simple pass,27,16,36,10,1801
Pass,Simple pass,52,31,55,7,1801
Pass,Simple pass,61,30,64,25,1801
Others on the ball,Acceleration,29,21,56,26,1801
Pass,Simple pass,56,26,69,4,1801
Pass,Simple pass,40,34,57,23,1801
Pass,Simple pass,31,35,43,15,1801
Duel,Air duel,93,57,92,58,"703, 1801"
Shot,Shot,92,58,0,0,"403, 201, 1216, 1802"
Pass,Simple pass,47,30,55,28,1801
Pass,Simple pass,46,26,49,17,1801
Pass,High pass,47,27,84,95,1801
Pass,Simple pass,29,33,30,16,1801
Pass,Head pass,30,5,43,5,"1401, 1802"
Pass,Simple pass,63,32,71,15,1801
Pass,Simple pass,28,29,42,21,1801
Pass,Simple pass,55,32,56,14,1801
Pass,Simple pass,64,39,63,23,1801
Pass,Simple pass,57,35,57,54,1801
Pass,Simple pass,65,32,63,76,1801
Duel,Ground loose ball duel,91,40,72,19,"701, 1802"
Pass,Simple pass,44,34,53,46,1801
Pass,Simple pass,57,22,70,13,1801
Pass,Simple pass,61,20,49,44,1801
Pass,Simple pass,31,24,46,16,1801
Pass,Simple pass,45,36,53,72,1801
Pass,Simple pass,62,26,72,18,1801
Pass,Simple pass,60,22,63,2,1801
Pass,Simple pass,55,24,63,73,1801
Duel,Air duel,91,37,90,37,"703, 1801"
Pass,Simple pass,55,28,56,22,1801
Pass,High pass,57,28,89,26,"901, 1801"
Pass,Simple pass,23,66,25,53,1801
Pass,Simple pass,33,34,47,30,1801
Pass,Simple pass,57,48,71,22,1801
Pass,Simple pass,31,7,48,42,1801
Free Kick,Throw in,51,0,50,68,1801
Duel,Ground loose ball duel,35,31,13,36,"703, 1801"
Pass,Simple pass,65,25,68,21,1801
Pass,Simple pass,59,23,61,16,1801
Pass,Simple pass,57,27,57,71,1801
Pass,Simple pass,63,31,74,30,"302, 1801"
Duel,Air duel,34,28,39,40,"703, 1801"
Pass,Simple pass,32,33,40,35,1801
Pass,Simple pass,39,34,49,12,1801
Pass,Simple pass,56,37,66,19,1801
Pass,Simple pass,83,7,72,5,1801
Pass,Simple pass,64,26,67,70,1801
Pass,Simple pass,38,35,51,40,1801
Pass,Simple pass,51,51,82,13,1801
Pass,Simple pass,22,32,32,52,1801
Pass,Simple pass,61,36,68,33,1801
Shot,Shot,63,38,0,0,"402, 201, 1212, 1802"
Pass,Simple pass,45,33,56,25,1801
Pass,Simple pass,54,25,46,44,1801
Pass,Simple pass,12,57,25,54,"1401, 1801"
Duel,Air duel,94,53,89,36,"701, 1802"
Duel,Ground loose ball duel,91,45,100,0,"702, 1801"
Duel,Ground defending duel,32,9,33,0,"601, 702, 1801"
Pass,Simple pass,45,26,54,11,1801
Pass,Simple pass,63,36,71,54,1801
Duel,Ground loose ball duel,30,58,32,30,"703, 1801"
Pass,Simple pass,32,30,46,13,1801
Pass,Simple pass,31,22,38,66,1801
Pass,Simple pass,66,50,64,10,1801
Duel,Air duel,28,16,45,9,"703, 1801"
Duel,Ground defending duel,31,18,33,10,"701, 1802"
Foul,Foul,33,10,31,18,
