eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,41,39,44,6,1801
Pass,Simple pass,32,44,30,62,1801
Pass,Simple pass,36,19,31,33,1801
Pass,Simple pass,50,30,59,10,1801
Pass,Simple pass,46,35,67,31,1801
Pass,High pass,50,53,66,18,1801
Duel,Ground attacking duel,63,14,73,7,"502, 703, 1801"
Pass,Simple pass,73,7,75,28,1801
Pass,Simple pass,29,24,52,13,1801
Pass,Simple pass,60,10,67,5,1801
Duel,Ground attacking duel,58,19,70,27,"503, 703, 1801"
Pass,Simple pass,70,27,73,56,1801
Duel,Ground defending duel,65,11,43,19,"503, 1601, 703, 1801"
Pass,Simple pass,55,26,70,53,1801
Others on the ball,Touch,28,6,15,8,1401
Pass,Simple pass,49,21,62,43,1801
Duel,Ground loose ball duel,57,21,60,12,"703, 1801"
Pass,Simple pass,68,29,95,10,1801
Pass,High pass,49,40,91,92,1801
Pass,Simple pass,31,47,33,24,1801
Pass,High pass,54,32,96,82,1802
Duel,Ground defending duel,61,72,57,70,"701, 1802"
Foul,Foul,57,70,61,72,
Pass,Simple pass,45,25,46,35,1801
Free Kick,Free kick cross,80,92,96,47,"301, 801, 1801"
Duel,Air duel,28,47,10,61,"703, 1801"
Pass,Simple pass,31,35,33,19,1801
Pass,Simple pass,31,38,50,37,1801
Pass,Simple pass,44,41,50,50,1801
Pass,Simple pass,52,29,74,10,1801
Pass,Simple pass,66,41,64,52,1801
Pass,Simple pass,63,36,49,23,1801
Pass,Simple pass,55,32,69,49,1801
Pass,High pass,68,25,83,93,1801
Pass,Simple pass,64,52,74,52,1801
Shot,Shot,78,43,0,0,"401, 2101, 1802"
Free Kick,Corner,100,100,0,0,"801, 1802"
Pass,Simple pass,38,44,30,56,1801
Pass,Simple pass,40,34,58,61,1801
Free Kick,Corner,100,0,70,30,"801, 1801"
Pass,High pass,51,34,89,43,"302, 901, 1801"
Pass,Simple pass,54,17,33,42,1801
Pass,Simple pass,60,21,73,37,1801
Pass,Smart pass,75,35,97,35,1802
