eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,69,91,75,100,1802
Duel,Ground attacking duel,39,95,44,95,"701, 1802"
Duel,Ground defending duel,44,95,44,94,"701, 1802"
Foul,Foul,44,94,44,95,
Duel,Ground loose ball duel,59,67,58,70,"701, 1802"
Others on the ball,Clearance,3,42,0,49,"1401, 1802"
Others on the ball,Clearance,8,63,38,32,"1401, 1802"
Duel,Ground loose ball duel,32,72,26,69,"701, 1802"
Duel,Ground loose ball duel,88,27,84,30,"703, 1801"
Pass,Head pass,23,63,31,97,1801
Duel,Ground defending duel,34,33,37,31,"701, 1802"
Foul,Foul,37,31,34,33,
Pass,Simple pass,70,78,74,60,1801
Pass,Simple pass,68,83,66,38,1801
Pass,Simple pass,49,75,34,80,1801
Pass,Simple pass,54,92,61,79,1801
Free Kick,Throw in,71,100,60,92,1801
Free Kick,Corner,100,0,83,59,"801, 1801"
Pass,Simple pass,53,75,41,75,1801
Pass,Simple pass,48,26,66,7,1801
Others on the ball,Touch,56,34,71,25,
Pass,Simple pass,71,25,80,5,1801
Duel,Ground attacking duel,74,25,71,26,"501, 702, 1801"
Duel,Ground loose ball duel,71,26,70,30,"702, 1801"
Duel,Ground loose ball duel,70,30,62,25,"702, 1801"
Pass,Simple pass,51,93,42,85,1801
Duel,Ground attacking duel,55,86,56,84,"503, 703, 1801"
Pass,Smart pass,63,87,99,74,1802
Pass,Simple pass,62,15,46,15,1801
Free Kick,Free kick cross,64,79,99,44,"801, 1802"
Duel,Air duel,4,39,24,16,"703, 1801"
Duel,Ground defending duel,62,79,70,84,"601, 702, 1801"
Pass,High pass,44,52,80,85,1802
Pass,Simple pass,64,86,74,84,1801
Others on the ball,Touch,84,77,87,73,
Duel,Ground defending duel,87,73,83,66,"504, 601, 701, 1802"
Duel,Ground attacking duel,55,16,48,29,"702, 1801"
Pass,Simple pass,48,29,50,79,1801
Pass,Cross,94,99,92,35,"402, 801, 1801"
Duel,Ground defending duel,26,13,35,26,"503, 703, 1801"
Pass,Simple pass,35,26,33,43,1801
Pass,Simple pass,69,68,66,76,1801
Shot,Shot,94,49,0,0,"101, 403, 201, 1203, 1801"
Pass,Simple pass,50,51,27,30,1801
Duel,Ground defending duel,16,83,14,70,"1601, 701, 1802"
Pass,Simple pass,65,90,48,72,1801
Pass,Simple pass,57,97,40,95,1801
Free Kick,Corner,100,100,91,36,"801, 1802"
Duel,Ground attacking duel,92,93,91,92,"502, 701, 1802"
Pass,Simple pass,28,88,35,94,1802
Pass,Smart pass,56,68,89,63,"302, 1901, 901, 1801"
