playerId,name,category,best_fit_role,raw_best_fit_role,playstyle
25784,A. Abdennour,df,rb,rb,fb
376565,A. Abeid,df,rb,rcm,fb
49982,A. Abrashi,md,cm,cm,dlp
20812,A. Acquah,md,lcm,lcm,bwm
92334,A. Agolli,df,rb,rcm,fb
4814,A. Aguilar,md,cam,cam,am
49857,A. Ajeti,df,cb,cdm,cb
20401,A. Aquilani,md,cm,cm,cm
4329,A. Arribas,df,cb,cdm,cb
131602,A. Arroyo,fw,lw,lam,w
25418,A. Aréola,gk,gk,cb,
25572,A. Ayew,fw,lw,cam,if
216077,A. Baba,df,rb,ram,fb
28094,A. Badri,fw,rw,cam,if
300669,A. Balić,md,cm,cm,bwm
26368,A. Bamba,df,cb,cdm,cb
20815,A. Barberis,md,lcm,lcm,dlp
391387,A. Barkok,md,cam,cam,ap
9123,A. Barnes,fw,st,cam,af
300373,A. Barreca,df,rb,rcm,fb
20458,A. Barzagli,df,cb,cdm,bpd
265172,A. Barák,md,lcm,lcm,bwm
405597,A. Bastoni,df,rb,rcm,wb
15798,A. Beck,df,lb,lcm,fb
8726,A. Begović,gk,gk,cb,
61651,A. Behich,df,rb,rcm,fb
238031,A. Beiranvand,gk,gk,cb,
21234,A. Belotti,fw,rw,cam,iw
10113,A. Benali,md,rcm,rcm,bwm
101580,A. Berezutski,df,cb,cdm,cb
20749,A. Bertolacci,md,rcm,rcm,bwm
20540,A. Bizzarri,gk,gk,cb,
253333,A. Blin,md,cm,cm,bwm
15727,A. Bouhaddouz,fw,st,cam,af
29843,A. Bouka Moutou,df,rb,rcm,wb
21415,A. Brignoli,gk,gk,cb,
69513,A. Budimir,fw,st,cam,af
491451,A. Buongiorno,df,rb,rb,fb
20556,A. Candreva,md,lam,lam,w
22093,A. Caracciolo,df,cb,cb,cb
70156,A. Carrillo,md,lam,lam,wm
7970,A. Carroll,fw,st,cam,af
20947,A. Cerci,fw,lw,lam,iw
83590,A. Chipciu,md,ram,ram,w
135103,A. Christensen,df,cb,cdm,bpd
134484,A. Ciciretti,fw,lw,lam,w
249926,A. Confais,md,lcm,lcm,cm
20832,A. Consigli,gk,gk,cb,
134419,A. Conti,df,lb,lcm,wb
86411,A. Cooper,md,cam,cam,ap
21494,A. Cordaz,gk,gk,cb,
135150,A. Cornelius,fw,lw,cam,iw
20874,A. Cossu,md,cam,cam,am
20609,A. Costa,df,rb,rb,fb
134413,A. Cragno,gk,gk,cb,
