Player,PrimaryPosition,Games,acceleration_pg,acceleration_acc,launch_pg,launch_acc,smartpass_pg,smartpass_acc,throughball_pg,throughball_acc,shots_pg,goals_pg,assists_pg,keypasses_pg,counterattacks_pg,opportunities_pg,feints_pg,anticipated_rate,consistency,Rating
A. Lacazette,st,32,0.062,0.455,0.000,0.400,0.906,0.347,0.750,0.318,1.969,0.375,0.125,0.594,1.281,1.656,0.031,0.008,0.536,70.19
R. Holding,cb,12,0.167,0.455,0.417,0.320,0.500,0.346,0.167,0.364,0.083,0.000,0.000,0.000,0.750,0.083,0.000,0.035,0.445,62.13
M. Özil,cam,34,1.147,0.763,0.000,0.400,2.971,0.355,2.206,0.305,1.382,0.147,0.265,1.088,2.206,1.147,0.559,0.009,0.717,80.85
Mohamed Elneny,cm,16,0.250,0.458,0.062,0.429,0.312,0.480,0.375,0.385,0.688,0.000,0.062,0.125,0.812,0.375,0.000,0.015,0.466,64.88
Bellerín,lb,35,0.629,0.690,0.429,0.400,1.086,0.431,0.629,0.357,0.800,0.057,0.086,0.514,1.371,0.600,0.000,0.021,0.668,68.17
H. Maguire,rb,45,0.511,0.698,0.622,0.479,0.289,0.455,0.356,0.361,0.822,0.067,0.111,0.133,0.667,0.689,0.000,0.043,0.658,66.01
M. Albrighton,cm,34,0.618,0.659,0.618,0.366,0.971,0.358,1.353,0.348,0.529,0.059,0.206,0.706,1.118,0.294,0.029,0.017,0.603,69.07
G. Xhaka,cm,46,0.109,0.520,0.413,0.410,1.000,0.409,1.783,0.275,1.457,0.043,0.152,0.304,1.587,0.978,0.152,0.019,0.643,69.97
S. Kolašinac,rb,27,0.593,0.611,0.778,0.415,0.556,0.429,0.593,0.389,0.704,0.074,0.148,0.296,1.370,0.593,0.037,0.020,0.615,67.72
Nacho Monreal,rb,28,0.357,0.600,0.786,0.429,0.143,0.458,0.250,0.333,0.750,0.179,0.071,0.107,0.536,0.464,0.000,0.064,0.601,64.53
W. Ndidi,lcm,36,0.306,0.613,0.694,0.467,0.500,0.342,0.917,0.283,1.111,0.000,0.028,0.111,0.806,0.639,0.028,0.028,0.771,63.67
C. Fuchs,rb,28,0.714,0.700,0.714,0.450,0.286,0.357,0.536,0.314,0.500,0.000,0.000,0.179,0.643,0.071,0.000,0.058,0.561,62.15
S. Okazaki,st,30,0.167,0.520,0.000,0.400,0.367,0.452,0.300,0.414,0.900,0.200,0.033,0.133,1.033,0.833,0.067,0.007,0.300,66.81
J. Vardy,st,44,0.432,0.667,0.023,0.429,0.318,0.353,0.273,0.375,1.500,0.364,0.045,0.295,1.545,1.455,0.023,0.004,0.597,68.67
P. Čech,gk,37,0.000,0.400,5.405,0.564,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.757,0.000,0.000,0.000,0.383,61.85
M. James,cm,13,0.077,0.429,0.462,0.423,0.462,0.385,0.692,0.345,0.615,0.000,0.000,0.077,0.308,0.538,0.000,0.021,0.497,63.32
D. Welbeck,rw,29,0.276,0.571,0.000,0.400,0.414,0.344,0.310,0.379,1.069,0.172,0.069,0.138,0.897,0.862,0.034,0.009,0.133,65.28
D. Simpson,lb,28,0.179,0.520,0.786,0.357,0.214,0.423,0.179,0.360,0.107,0.000,0.000,0.036,0.429,0.071,0.036,0.059,0.593,61.53
W. Morgan,cb,32,0.094,0.478,0.562,0.474,0.000,0.400,0.031,0.381,0.375,0.000,0.000,0.031,0.312,0.344,0.000,0.051,0.578,61.15
A. Oxlade-Chamberlain,lam,35,1.200,0.774,0.400,0.412,0.857,0.340,0.829,0.347,1.343,0.086,0.114,0.457,0.943,0.914,0.057,0.009,0.242,68.49
K. Schmeichel,gk,37,0.027,0.381,7.027,0.614,0.000,0.400,0.054,0.364,0.000,0.000,0.000,0.000,0.459,0.000,0.000,0.000,0.566,61.72
R. Mahrez,lam,36,1.778,0.845,0.222,0.429,1.667,0.463,1.694,0.395,1.722,0.306,0.278,0.583,2.750,1.500,0.000,0.006,0.613,78.32
O. Giroud,st,42,0.071,0.478,0.071,0.391,0.571,0.364,0.524,0.333,1.667,0.238,0.119,0.286,0.524,1.643,0.048,0.006,0.296,67.75
A. Ramsey,cam,29,0.793,0.651,0.138,0.458,2.276,0.442,1.862,0.324,2.172,0.276,0.345,0.552,1.414,1.517,0.138,0.011,0.640,77.46
D. Amartey,lcm,8,0.250,0.409,0.375,0.391,0.000,0.400,0.250,0.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.436,62.58
T. Walcott,lw,20,1.200,0.659,0.150,0.348,0.250,0.440,0.300,0.385,0.900,0.150,0.100,0.250,1.750,0.750,0.050,0.016,0.241,67.33
K. Iheanacho,lw,24,0.375,0.552,0.000,0.400,0.667,0.444,0.750,0.421,1.375,0.125,0.083,0.250,0.750,1.167,0.083,0.004,0.285,68.51
D. Gray,ram,35,1.000,0.691,0.143,0.360,0.457,0.389,0.286,0.367,0.943,0.086,0.029,0.429,0.914,0.571,0.000,0.005,0.303,65.89
S. Agüero,st,29,1.069,0.765,0.034,0.429,1.000,0.429,0.759,0.381,3.172,0.655,0.207,0.552,1.931,2.690,0.034,0.000,0.572,77.66
Fernandinho,cm,39,0.179,0.519,0.410,0.444,1.231,0.456,1.667,0.341,1.308,0.128,0.077,0.256,1.205,0.872,0.077,0.021,0.592,69.97
N. Otamendi,cb,38,0.316,0.625,0.868,0.377,0.421,0.306,0.658,0.311,0.921,0.105,0.000,0.053,0.526,0.816,0.000,0.061,0.542,61.98
V. Kompany,cb,22,0.136,0.478,0.636,0.471,0.227,0.360,0.182,0.375,0.500,0.045,0.045,0.000,0.273,0.500,0.000,0.014,0.474,62.78
J. Stones,cb,24,0.042,0.429,0.375,0.414,0.083,0.409,0.042,0.381,0.542,0.083,0.000,0.000,0.625,0.542,0.000,0.017,0.570,62.76
L. Dunk,rb,38,0.316,0.594,0.921,0.309,0.237,0.345,0.842,0.288,0.605,0.026,0.026,0.053,0.395,0.579,0.026,0.062,0.662,61.52
K. Walker,lb,40,1.175,0.806,0.575,0.395,0.800,0.481,0.525,0.390,0.325,0.000,0.100,0.300,0.675,0.150,0.075,0.016,0.660,68.17
I. Brown,rw,13,0.385,0.520,0.000,0.400,0.000,0.400,0.077,0.381,0.154,0.000,0.000,0.154,0.154,0.154,0.000,0.000,0.000,62.71
T. Hemed,rw,16,0.125,0.455,0.062,0.381,0.062,0.429,0.000,0.400,1.062,0.125,0.062,0.000,0.812,0.938,0.000,0.000,0.358,64.81
D. Pröpper,rcm,35,0.314,0.548,0.714,0.422,0.886,0.373,0.743,0.261,1.000,0.000,0.057,0.086,1.400,0.486,0.057,0.026,0.666,64.43
P. Groß,cam,38,0.579,0.690,0.132,0.360,1.053,0.400,0.947,0.393,1.026,0.158,0.211,1.079,1.974,0.842,0.079,0.003,0.605,73.53
D. Stephens,lcm,36,0.111,0.500,0.333,0.438,0.611,0.429,0.778,0.375,0.528,0.000,0.083,0.028,1.139,0.306,0.056,0.016,0.689,65.45
