Player,PrimaryPosition,Games,CrossAccuracy,CrossesPerGame,KeyPassesPerGame,Consistency,TurnoverRate,Rating
R. Holding,rcb,10,0.484,4.400,0.000,0.576,0.516,64.423
S. Kolašinac,rb,26,0.407,5.000,0.115,0.376,0.593,66.469
Nacho Monreal,rb,28,0.477,4.607,0.071,0.451,0.523,67.399
C. Fuchs,rb,25,0.358,8.920,0.160,0.363,0.642,69.903
H. Maguire,rb,43,0.517,6.512,0.070,0.547,0.483,71.575
D. Simpson,lb,28,0.431,6.000,0.000,0.572,0.569,68.366
W. Morgan,lcb,30,0.539,3.167,0.000,0.411,0.461,66.727
Bellerín,lb,35,0.358,4.943,0.343,0.278,0.642,67.265
N. Otamendi,rcb,37,0.588,4.838,0.027,0.546,0.412,70.083
Bruno Saltor,lb,24,0.471,6.333,0.167,0.541,0.529,68.754
K. Walker,lb,39,0.419,6.641,0.179,0.515,0.581,70.396
J. Stones,lcb,21,0.585,2.952,0.000,0.621,0.415,65.755
M. Suttner,rb,13,0.420,10.538,0.231,0.606,0.580,69.273
V. Kompany,lcb,18,0.516,4.167,0.000,0.221,0.484,64.870
Danilo,lcb,19,0.345,4.895,0.000,0.085,0.655,63.547
L. Dunk,rb,38,0.474,6.974,0.053,0.508,0.526,71.085
S. Duffy,lcb,38,0.453,5.053,0.000,0.447,0.547,68.033
J. Tarkowski,lcb,31,0.480,7.355,0.032,0.633,0.520,71.388
M. Lowton,lb,26,0.420,9.769,0.154,0.646,0.580,72.461
A. Rüdiger,rb,28,0.494,5.000,0.000,0.535,0.506,68.013
David Luiz,lcb,10,0.478,4.700,0.000,0.499,0.522,64.464
S. Ward,rb,31,0.420,10.581,0.290,0.603,0.580,75.101
Marcos Alonso,rb,33,0.387,6.758,0.152,0.540,0.613,69.721
Azpilicueta,lb,37,0.464,8.838,0.081,0.674,0.536,73.696
B. Mee,rb,29,0.569,6.828,0.000,0.706,0.431,71.694
A. Christensen,lcb,24,0.448,1.958,0.000,0.222,0.552,62.754
C. Löwe,rb,23,0.434,7.739,0.087,0.522,0.566,69.213
T. Smith,lb,24,0.416,9.583,0.250,0.536,0.584,71.686
J. Riedewald,rb,9,0.523,2.667,0.000,0.193,0.477,63.163
P. van Aanholt,rb,28,0.291,4.929,0.214,0.111,0.709,65.012
T. Fosu-Mensah,lb,20,0.376,6.450,0.200,0.130,0.624,66.150
C. Schindler,rcb,35,0.489,4.686,0.000,0.565,0.511,68.316
J. Ward,lb,19,0.380,7.947,0.053,0.359,0.620,67.413
S. Dann,rcb,16,0.472,5.375,0.000,0.311,0.528,65.322
M. Jørgensen,lb,39,0.484,6.103,0.000,0.453,0.516,69.870
M. Keane,lcb,30,0.537,6.033,0.000,0.656,0.463,70.527
G. Cameron,lcb,18,0.418,5.667,0.000,0.375,0.582,65.442
E. Pieters,rb,31,0.359,6.903,0.161,0.315,0.641,68.905
P. Jagielka,lcb,23,0.472,8.348,0.000,0.644,0.528,70.270
K. Zouma,lcb,32,0.544,4.719,0.000,0.396,0.456,68.618
L. Baines,rb,22,0.485,6.591,0.364,0.515,0.515,69.232
A. Williams,rcb,28,0.466,5.107,0.000,0.391,0.534,67.447
R. Shawcross,lcb,26,0.539,4.654,0.000,0.541,0.461,67.785
Cuco Martina,rb,21,0.479,8.190,0.190,0.627,0.521,70.179
A. Ogbonna,rcb,33,0.519,5.879,0.000,0.443,0.481,69.785
D. Blind,rb,6,0.417,6.667,0.167,0.292,0.583,64.916
P. Zabaleta,lb,37,0.439,7.270,0.135,0.507,0.561,71.189
A. Valencia,lb,31,0.421,8.161,0.226,0.624,0.579,72.157
W. Reid,lcb,17,0.500,6.471,0.000,0.428,0.500,66.935
E. Bailly,lb,11,0.304,3.273,0.091,0.000,0.696,61.684
A. Masuaku,rb,26,0.270,5.500,0.269,0.076,0.730,65.096
D. Rice,lcb,17,0.438,6.353,0.000,0.249,0.562,65.866
A. Cresswell,rb,36,0.365,9.500,0.194,0.416,0.635,72.751
C. Clark,rb,21,0.494,7.619,0.000,0.469,0.506,68.938
J. Vertonghen,rb,46,0.502,6.152,0.043,0.520,0.498,70.823
F. Lejeune,rcb,24,0.507,8.375,0.000,0.684,0.493,71.093
K. Walker-Peters,lb,2,0.474,9.000,0.000,0.798,0.526,64.713
P. Dummett,rb,19,0.515,7.526,0.158,0.590,0.485,69.246
T. Alderweireld,lb,25,0.551,10.240,0.040,0.657,0.449,73.975
Javi Manquillo,rcb,20,0.375,5.400,0.050,0.328,0.625,65.092
J. Lascelles,lb,33,0.530,5.970,0.030,0.522,0.470,70.346
B. Davies,rb,31,0.376,8.194,0.129,0.423,0.624,70.767
C. Mbemba,rb,7,0.441,5.571,0.286,0.563,0.559,65.033
M. Olsson,rb,40,0.356,8.075,0.200,0.496,0.644,71.322
Cédric Soares,lb,38,0.416,12.553,0.316,0.679,0.584,78.580
R. Bertrand,rb,36,0.399,7.389,0.222,0.557,0.601,71.117
F. Fernández,lcb,29,0.500,5.103,0.034,0.536,0.500,68.562
J. Stephens,lb,22,0.415,7.091,0.045,0.586,0.585,68.085
K. Naughton,lb,34,0.426,8.324,0.059,0.492,0.574,71.757
A. Mawson,rb,38,0.494,6.395,0.000,0.528,0.506,70.524
M. Yoshida,lcb,27,0.479,6.222,0.037,0.379,0.521,68.703
J. Holebas,rb,28,0.443,11.143,0.143,0.522,0.557,74.586
Y. Kaboul,lcb,2,0.512,10.500,0.000,0.819,0.488,65.059
Alberto Moreno,rb,16,0.453,8.125,0.250,0.660,0.547,68.680
M. Britos,rb,11,0.510,7.273,0.182,0.345,0.490,66.698
D. Janmaat,lb,23,0.464,9.261,0.261,0.397,0.536,71.390
T. Alexander-Arnold,lb,19,0.413,14.105,0.421,0.686,0.587,75.106
J. Matip,lb,23,0.446,4.783,0.000,0.405,0.554,65.850
D. Lovren,lcb,31,0.551,5.742,0.097,0.562,0.449,70.565
Kiko Femenía,lb,22,0.415,5.773,0.500,0.349,0.585,67.660
J. Gomez,lb,23,0.399,5.565,0.261,0.460,0.601,66.973
C. Daniels,rb,35,0.367,7.143,0.171,0.495,0.633,69.961
S. Cook,lcb,32,0.425,6.438,0.000,0.490,0.575,69.175
S. Francis,lb,32,0.481,11.000,0.344,0.723,0.519,77.049
C. Dawson,lb,28,0.456,7.357,0.107,0.502,0.544,70.403
A. Nyom,lb,28,0.464,7.679,0.179,0.413,0.536,70.905
Ahmed Hegazy,rcb,41,0.578,8.122,0.049,0.664,0.422,74.688
N. Aké,rb,35,0.486,3.543,0.000,0.364,0.514,66.405
A. Smith,lb,26,0.431,4.231,0.115,0.291,0.569,65.772
S. Prödl,lcb,22,0.515,5.273,0.000,0.512,0.485,67.186
C. Kabasele,rcb,28,0.511,6.071,0.000,0.567,0.489,69.493
A. Robertson,rb,22,0.336,9.364,0.273,0.486,0.664,69.889
J. Tomkins,lcb,26,0.463,4.885,0.000,0.497,0.537,66.955
R. Klavan,rb,15,0.432,4.533,0.067,0.245,0.568,64.156
J. Schlupp,rb,21,0.339,4.667,0.143,0.050,0.661,63.853
M. Holgate,lb,14,0.472,8.857,0.071,0.514,0.528,68.252
S. Mustafi,lcb,29,0.449,5.379,0.103,0.362,0.551,68.026
K. Bartley,lcb,3,0.387,3.667,0.000,0.245,0.613,62.736
P. Jones,rcb,20,0.380,2.550,0.000,0.109,0.620,61.887
K. Trippier,lb,29,0.389,10.655,0.690,0.417,0.611,75.249
W. Hoedt,rb,28,0.527,8.643,0.000,0.680,0.473,72.808
T. Mings,rb,3,0.415,7.000,0.333,0.353,0.585,63.945
B. Mendy,rb,8,0.329,7.000,0.500,0.156,0.671,65.082
M. van der Hoorn,lb,24,0.480,7.500,0.000,0.572,0.520,69.622
M. Kelly,lb,15,0.422,5.467,0.000,0.607,0.578,65.242
L. Koscielny,lcb,31,0.564,4.613,0.065,0.547,0.436,69.308
J. Collins,lcb,13,0.486,7.000,0.000,0.704,0.514,66.847
C. Cathcart,lcb,11,0.536,5.818,0.000,0.505,0.464,65.773
L. Rosenior,lb,3,0.515,4.333,0.000,0.126,0.485,63.223
B. Martins Indi,rcb,15,0.486,3.600,0.133,0.224,0.514,64.058
J. Evans,rcb,30,0.575,5.300,0.033,0.528,0.425,70.036
K. Gibbs,rb,33,0.451,7.182,0.182,0.453,0.549,71.039
D. Sánchez,lcb,31,0.485,5.677,0.000,0.376,0.515,68.813
D. Zappacosta,lb,20,0.348,5.900,0.250,0.275,0.652,65.727
K. Wimmer,rb,17,0.441,4.824,0.000,0.543,0.559,65.083
M. Darmian,lcb,9,0.357,4.000,0.000,0.295,0.643,62.898
Jesús Gámez,rb,2,0.433,5.000,0.500,1.000,0.567,64.268
José Fonte,lcb,16,0.385,5.562,0.000,0.361,0.615,64.690
S. Malone,rb,18,0.400,7.222,0.111,0.304,0.600,66.819
G. Cahill,rcb,28,0.475,3.571,0.000,0.243,0.525,65.534
B. Chilwell,rb,24,0.327,7.333,0.292,0.232,0.673,67.743
A. Young,rb,33,0.440,9.939,0.273,0.621,0.560,74.854
D. Yedlin,lb,33,0.381,6.545,0.273,0.539,0.619,69.820
S. Aurier,lb,17,0.288,7.412,0.176,0.017,0.712,65.277
A. Mariappa,lcb,27,0.517,5.926,0.037,0.512,0.483,69.166
J. Kenny,lb,19,0.427,9.421,0.263,0.674,0.573,70.467
M. Sakho,rb,18,0.519,3.167,0.000,0.264,0.481,64.088
G. Johnson,lb,7,0.434,9.000,0.143,0.530,0.566,66.437
M. Wagué,lb,7,0.510,4.429,0.000,0.467,0.490,64.362
G. Bong,rb,25,0.406,7.880,0.040,0.477,0.594,69.268
E. Schelotto,lb,18,0.404,4.667,0.167,0.281,0.596,64.670
D. Delaney,rb,2,0.552,4.500,0.000,0.891,0.448,64.130
C. Smalling,lcb,28,0.389,2.500,0.000,0.116,0.611,62.920
V. van Dijk,rcb,25,0.469,5.080,0.080,0.356,0.531,66.994
U. Hünemeier,lcb,1,0.409,2.000,0.000,1.000,0.591,64.183
T. Edwards,lb,6,0.355,7.000,0.000,0.647,0.645,64.829
P. Mertesacker,rcb,3,0.346,2.000,0.000,0.000,0.654,62.080
V. Lindelöf,lcb,19,0.461,3.632,0.053,0.331,0.539,64.264
G. McAuley,lcb,10,0.532,5.700,0.000,0.671,0.468,65.731
F. Hadergjonaj,lb,21,0.440,10.190,0.667,0.536,0.560,72.881
M. Cranie,rcb,3,0.452,3.667,0.000,0.134,0.548,62.872
D. Rose,rb,17,0.393,7.647,0.176,0.506,0.607,67.443
E. Mangala,rb,9,0.490,3.222,0.000,0.622,0.510,63.764
M. Zeegelaar,rb,12,0.405,5.333,0.250,0.488,0.595,64.982
P. Bardsley,lb,13,0.537,8.769,0.385,0.785,0.463,69.613
M. Rojo,rb,11,0.512,5.636,0.091,0.498,0.488,65.635
J. Pied,lb,2,0.455,12.000,0.500,0.636,0.545,65.394
K. Long,lcb,16,0.458,6.125,0.000,0.572,0.542,66.253
C. Taylor,rb,11,0.466,8.909,0.182,0.559,0.534,67.733
E. Ampadu,lcb,1,0.429,1.000,0.000,1.000,0.571,64.114
L. Shaw,rb,10,0.367,5.900,0.000,0.221,0.633,64.032
J. Tymon,rb,2,0.321,4.000,0.000,0.000,0.679,63.259
C. Goldson,lb,3,0.405,5.667,0.000,0.000,0.595,63.164
J. Simpson,rb,1,0.429,1.000,0.000,1.000,0.571,64.114
M. Targett,rb,2,0.467,12.500,0.500,0.954,0.533,65.616
Àngel Rangel,lb,3,0.438,4.000,0.000,0.333,0.562,63.012
C. Chambers,lb,10,0.407,6.100,0.000,0.415,0.593,64.711
A. Dragović,lb,13,0.477,3.462,0.000,0.226,0.523,63.399
T. Kongolo,rb,15,0.376,4.867,0.000,0.193,0.624,63.638
M. Bauer,lb,15,0.419,6.467,0.600,0.433,0.581,67.211
C. Roberts,lb,4,0.341,6.000,0.000,0.091,0.659,62.572
S. Byram,lb,3,0.395,7.667,0.333,0.796,0.605,64.272
S. Coleman,lb,16,0.374,6.438,0.125,0.437,0.626,65.758
A. Laporte,rb,28,0.614,6.964,0.107,0.647,0.386,72.391
K. Stafylidis,rb,6,0.425,3.333,0.000,0.208,0.575,63.206
A. Wan-Bissaka,lb,7,0.406,7.000,0.286,0.564,0.594,65.531
P. Evra,rb,15,0.427,5.067,0.133,0.295,0.573,64.787
Emerson,rb,5,0.400,5.000,0.000,0.326,0.600,63.991
J. Bednarek,lcb,8,0.514,6.250,0.000,0.481,0.486,65.420
N. Clyne,lb,4,0.429,5.500,0.500,0.330,0.571,63.373
Ramiro Funes Mori,rb,4,0.483,2.250,0.000,0.244,0.517,62.021
