Player,PrimaryPosition,Games,LongPassAcc,LongthroughPassAcc,LongPassAssistsPerGame,FreeKickAcc,Consistency,TurnoverRate,Rating
A. Lacazette,st,32,0.654,0.444,0.156,0.593,0.457,0.346,68.307
R. Holding,cb,12,0.812,0.417,0.000,0.700,0.878,0.188,75.156
M. Özil,cam,34,0.797,0.409,0.353,0.525,0.873,0.203,80.486
Mohamed Elneny,cm,16,0.886,0.467,0.000,0.714,0.889,0.114,79.138
Bellerín,lb,35,0.742,0.375,0.200,0.362,0.739,0.258,73.184
H. Maguire,rb,45,0.801,0.400,0.067,0.500,0.846,0.199,76.449
G. Xhaka,cm,46,0.837,0.284,0.109,0.381,0.886,0.163,75.756
S. Kolašinac,rb,27,0.713,0.421,0.074,0.452,0.809,0.287,72.256
Nacho Monreal,rb,28,0.846,0.375,0.036,0.538,0.823,0.154,76.580
M. Albrighton,cm,33,0.520,0.392,0.303,0.306,0.648,0.480,64.221
W. Ndidi,lcm,36,0.737,0.282,0.028,0.450,0.811,0.263,69.306
C. Fuchs,rb,28,0.631,0.320,0.107,0.328,0.739,0.369,65.960
S. Okazaki,st,30,0.616,0.529,0.033,0.500,0.315,0.384,65.432
P. Čech,gk,37,0.819,0.500,0.000,0.700,0.866,0.181,79.480
A. Oxlade-Chamberlain,lam,34,0.716,0.393,0.147,0.479,0.623,0.284,70.918
J. Vardy,st,43,0.627,0.412,0.070,0.586,0.548,0.373,65.582
K. Schmeichel,gk,37,0.753,0.417,0.000,0.727,0.876,0.247,74.620
W. Morgan,cb,32,0.766,0.455,0.000,0.700,0.772,0.234,74.837
R. Mahrez,lam,36,0.738,0.472,0.167,0.490,0.792,0.262,75.936
M. James,cm,13,0.739,0.333,0.000,0.700,0.721,0.261,70.734
D. Simpson,lb,28,0.691,0.500,0.000,0.714,0.738,0.309,72.353
D. Welbeck,rw,29,0.737,0.357,0.000,0.636,0.524,0.263,68.599
O. Giroud,st,41,0.644,0.429,0.049,0.750,0.400,0.356,65.584
