Player,PrimaryPosition,Games,Accelerations,LongCarries,Duels,WideRuns,CounterAttacks,AvgCarryDistance,RawRating
A. Lacazette,st,32,0.06,0.47,8.69,0.59,1.28,13.59,69.067
R. Holding,rcb,12,0.17,1.08,1.33,1.00,0.75,16.87,50.464
M. Özil,cam,34,1.15,1.79,8.15,2.32,2.21,16.56,77.063
Mohamed Elneny,lcm,16,0.25,1.38,2.06,0.75,0.81,19.79,56.600
Bellerín,lb,35,0.63,1.31,4.06,2.77,1.37,16.47,67.731
H. Maguire,rb,45,0.51,2.47,3.60,1.09,0.67,19.90,67.638
M. Albrighton,rcm,34,0.62,1.06,7.41,2.47,1.12,16.30,72.457
G. Xhaka,cm,46,0.11,1.22,3.43,0.74,1.59,16.31,60.036
S. Kolašinac,rb,27,0.59,0.93,2.81,2.33,1.37,16.51,62.582
Nacho Monreal,rb,28,0.36,1.39,1.36,1.64,0.54,18.34,55.931
W. Ndidi,lcm,36,0.31,0.75,4.78,1.31,0.81,13.09,62.622
C. Fuchs,rb,28,0.71,0.89,2.46,2.11,0.64,15.97,60.824
S. Okazaki,st,30,0.17,0.70,5.13,0.73,1.03,14.59,62.158
J. Vardy,st,44,0.43,0.57,4.20,0.73,1.55,13.32,61.357
P. Čech,gk,37,0.00,0.54,0.16,0.00,0.76,37.45,39.203
M. James,cm,13,0.08,0.92,3.00,0.92,0.31,14.64,54.230
D. Welbeck,rs,29,0.28,0.31,4.86,1.41,0.90,14.10,61.173
D. Simpson,lb,28,0.18,0.96,1.93,1.89,0.43,15.67,53.557
W. Morgan,lcb,32,0.09,1.44,1.41,0.56,0.31,20.62,51.293
A. Oxlade-Chamberlain,lam,35,1.20,1.23,5.89,1.94,0.94,17.09,72.263
K. Schmeichel,gk,37,0.03,1.19,0.11,0.08,0.46,37.36,45.042
R. Mahrez,lam,36,1.78,1.06,13.03,2.81,2.75,14.09,81.843
O. Giroud,st,42,0.07,0.48,5.40,0.31,0.52,15.05,59.894
A. Ramsey,cam,29,0.79,0.97,8.41,0.83,1.41,16.46,73.388
D. Amartey,lcm,8,0.25,1.00,3.00,2.00,0.00,16.19,58.104
T. Walcott,lw,20,1.20,0.50,7.65,1.75,1.75,12.16,73.345
K. Iheanacho,ls,24,0.38,0.42,4.58,0.54,0.75,16.32,60.341
D. Gray,ram,35,1.00,0.89,7.37,1.63,0.91,15.55,72.601
S. Agüero,st,29,1.07,0.76,10.41,0.90,1.93,17.17,76.740
Fernandinho,cm,39,0.18,2.31,2.64,0.79,1.21,17.82,62.803
N. Otamendi,rcb,38,0.32,5.32,1.05,1.45,0.53,22.04,70.423
V. Kompany,lcb,22,0.14,2.50,0.50,0.95,0.27,19.49,55.273
J. Stones,lcb,24,0.04,2.08,1.25,0.38,0.62,21.55,54.779
L. Dunk,rb,38,0.32,2.16,1.24,1.32,0.39,20.55,58.835
K. Walker,lb,40,1.18,2.38,4.78,3.55,0.68,19.41,74.171
I. Brown,rw,13,0.38,0.31,2.69,0.54,0.15,13.48,50.670
T. Hemed,st,16,0.12,0.44,4.56,0.88,0.81,14.97,58.758
D. Pröpper,rcm,35,0.31,0.91,3.77,0.97,1.40,15.32,61.181
P. Groß,cam,38,0.58,0.95,5.68,1.63,1.97,14.18,68.875
D. Stephens,lcm,36,0.11,1.78,2.25,0.53,1.14,18.42,58.154
Ederson,gk,37,0.00,0.62,0.14,0.00,0.73,31.78,37.667
S. March,rcm,36,0.58,0.86,7.00,2.50,0.75,15.00,70.803
Bruno Saltor,lb,25,0.16,0.68,2.60,1.64,0.52,16.82,54.301
Gabriel Jesus,st,34,0.29,0.38,6.56,0.62,1.03,14.08,65.266
David Silva,cam,37,0.95,2.46,7.70,2.95,1.68,18.73,77.277
Danilo,lcb,23,0.48,1.22,2.09,2.22,0.74,17.20,59.830
K. De Bruyne,cam,48,1.81,1.31,8.10,1.92,3.38,15.23,78.272
S. Duffy,lcb,39,0.10,1.03,0.82,0.23,0.41,17.42,43.225
M. Ryan,gk,41,0.00,0.93,0.02,0.02,0.27,47.46,44.035
M. Suttner,rb,14,0.43,0.64,1.43,1.86,0.14,14.41,50.908
J. Murphy,ram,4,0.75,0.25,4.25,0.50,0.00,14.96,59.994
G. Murray,st,35,0.09,0.46,6.49,0.97,0.94,14.49,64.457
L. Sané,ram,33,0.76,1.18,10.97,3.30,1.27,14.90,77.944
A. Knockaert,lam,33,1.70,1.15,7.45,2.94,2.94,15.02,77.390
R. Sterling,st,42,1.24,0.81,12.12,1.95,1.83,13.72,79.173
Bernardo Silva,lam,39,1.03,0.72,5.46,2.10,0.90,15.09,69.432
J. Hendrick,cam,38,0.21,0.39,5.53,0.58,0.95,14.33,61.903
J. Tarkowski,lcb,31,0.00,1.74,1.77,0.29,0.32,18.95,53.013
A. Rüdiger,rb,28,0.50,1.79,1.71,1.50,0.61,18.55,60.392
S. Vokes,st,34,0.00,0.15,2.62,0.32,0.24,11.34,42.426
Fàbregas,lcm,36,0.28,0.67,3.33,1.08,1.11,14.64,57.830
J. Cork,cm,38,0.26,1.03,5.08,0.97,0.66,17.29,64.175
S. Ward,rb,31,0.55,1.35,2.19,2.39,0.52,18.90,61.519
T. Heaton,gk,4,0.00,1.00,0.00,0.00,0.00,56.61,46.413
Azpilicueta,lb,38,0.24,1.74,1.08,1.95,0.84,18.28,56.841
T. Courtois,gk,47,0.00,0.68,0.00,0.00,0.68,32.45,37.378
M. Lowton,lb,26,0.19,1.00,2.31,2.38,0.31,15.52,56.180
Marcos Alonso,rb,33,0.42,1.21,5.15,3.12,0.79,15.10,68.233
Willian,lam,41,1.37,0.93,10.07,1.73,1.73,15.28,77.653
David Luiz,lcb,10,0.30,2.20,3.30,0.70,1.20,19.88,65.021
G. Cahill,rcb,32,0.31,1.44,1.12,0.62,0.22,20.70,52.469
N. Kanté,cm,45,1.13,1.31,5.04,1.44,1.56,16.65,70.891
J. Guðmunds­son,lam,42,0.86,1.05,7.52,2.26,1.12,15.69,73.281
R. Brady,ram,19,0.58,1.37,6.21,1.74,1.47,17.61,70.924
B. Mee,rb,29,0.00,1.45,0.79,0.62,0.21,20.39,46.801
M. Batshuayi,st,26,0.19,0.35,6.62,0.54,1.54,15.45,65.341
S. Defour,lcm,24,0.46,1.62,2.29,1.58,0.75,16.86,61.194
J. Boga,lw,1,0.00,0.00,0.00,0.00,0.00,4.00,30.000
A. Christensen,lcb,31,0.19,1.77,0.94,0.32,0.39,19.17,51.896
Álvaro Morata,st,35,0.69,0.77,12.57,0.54,1.80,19.18,77.850
S. Arfield,ram,18,0.11,0.78,5.33,1.72,0.44,15.45,63.325
J. Walters,st,5,0.00,0.20,2.20,0.00,0.00,10.85,37.830
J. Riedewald,rb,12,0.00,0.75,0.83,0.67,0.67,16.90,40.968
L. Milivojević,cm,38,0.18,1.34,3.61,0.92,1.26,15.28,61.346
P. van Aanholt,rb,28,0.71,0.86,3.29,1.86,1.07,13.83,62.999
C. Benteke,st,33,0.18,0.52,6.82,0.61,1.79,13.05,66.431
M. Jørgensen,lb,41,0.02,1.29,0.51,0.83,0.27,19.18,44.569
