Player,PrimaryPosition,Games,pass_acc,through_acc,freekick_acc,assists_pg,avg_pg,consistency,turnover_rate,Rating
A. Lacazette,st,32,0.791,0.250,0.529,0.562,20.531,0.823,0.209,81.29
R. Holding,cb,12,0.875,0.000,0.000,0.000,47.833,0.902,0.125,82.34
M. Özil,cam,34,0.877,0.280,0.490,0.912,69.706,0.941,0.123,93.39
Mohamed Elneny,cm,16,0.934,0.333,0.750,0.062,59.000,0.943,0.066,86.58
Bellerín,lb,35,0.848,0.318,0.292,0.514,53.629,0.917,0.152,87.76
H. Maguire,rb,45,0.848,0.312,0.357,0.089,45.289,0.900,0.152,84.44
G. Xhaka,cm,46,0.891,0.244,0.091,0.174,80.370,0.936,0.109,91.53
S. Kolašinac,rb,27,0.832,0.375,0.333,0.296,46.333,0.907,0.168,84.52
Nacho Monreal,rb,28,0.902,0.143,0.438,0.071,60.500,0.905,0.098,87.06
M. Albrighton,cm,33,0.659,0.326,0.272,0.424,33.545,0.839,0.341,77.41
W. Ndidi,lcm,36,0.818,0.212,0.200,0.111,47.278,0.916,0.182,83.17
C. Fuchs,rb,28,0.745,0.200,0.250,0.143,37.893,0.859,0.255,79.26
S. Okazaki,st,30,0.776,0.444,0.167,0.133,11.733,0.727,0.224,76.73
P. Čech,gk,37,0.865,0.000,0.000,0.000,20.243,0.894,0.135,80.01
A. Oxlade-Chamberlain,lam,34,0.804,0.310,0.421,0.324,24.882,0.862,0.196,81.09
J. Vardy,st,43,0.672,0.333,0.526,0.302,10.419,0.789,0.328,73.66
K. Schmeichel,gk,37,0.785,0.000,1.000,0.000,19.486,0.882,0.215,77.83
W. Morgan,cb,32,0.854,0.000,0.000,0.000,27.375,0.911,0.146,80.60
R. Mahrez,lam,36,0.797,0.393,0.439,0.361,33.778,0.888,0.203,82.55
M. James,cm,13,0.848,0.222,0.000,0.077,32.308,0.896,0.152,81.11
D. Simpson,lb,28,0.782,0.200,0.727,0.000,32.250,0.862,0.218,79.45
D. Welbeck,rw,29,0.849,0.333,0.000,0.138,12.759,0.822,0.151,79.52
O. Giroud,st,41,0.727,0.273,1.000,0.195,12.317,0.711,0.273,75.36
A. Ramsey,cam,29,0.846,0.296,0.517,0.483,50.000,0.925,0.154,86.71
D. Amartey,lcm,8,0.850,0.000,1.000,0.000,29.250,0.881,0.150,80.67
T. Walcott,lw,20,0.744,0.333,0.480,0.250,17.400,0.710,0.256,77.53
K. Iheanacho,lw,24,0.815,0.444,0.500,0.208,11.458,0.771,0.185,79.05
D. Gray,ram,35,0.770,0.300,0.371,0.286,17.000,0.747,0.230,77.97
S. Agüero,st,28,0.837,0.364,0.667,0.571,23.929,0.894,0.163,83.81
Fernandinho,cm,39,0.918,0.323,0.500,0.256,75.795,0.957,0.082,92.46
N. Otamendi,cb,38,0.936,0.240,1.000,0.053,85.289,0.968,0.064,93.41
V. Kompany,cb,22,0.943,0.250,0.000,0.000,76.091,0.964,0.057,88.95
J. Stones,cb,24,0.968,0.000,0.000,0.000,69.750,0.975,0.032,89.05
I. Brown,rw,13,0.746,0.000,0.333,0.154,9.077,0.675,0.254,76.51
T. Hemed,rw,15,0.745,0.000,0.000,0.000,10.733,0.823,0.255,76.02
K. Walker,lb,40,0.885,0.381,0.267,0.300,70.850,0.945,0.115,90.74
Ederson,gk,36,0.932,0.000,0.000,0.000,23.028,0.937,0.068,83.06
D. Stephens,lcm,36,0.865,0.357,0.000,0.028,47.639,0.948,0.135,84.65
S. March,rcm,35,0.740,0.231,0.273,0.229,19.686,0.810,0.260,77.02
Bruno Saltor,lb,25,0.825,0.222,0.333,0.200,39.840,0.907,0.175,82.68
P. Groß,cam,37,0.754,0.389,0.343,0.324,33.162,0.869,0.246,80.48
K. De Bruyne,cam,48,0.812,0.340,0.371,0.896,66.896,0.929,0.188,91.80
Danilo,cb,23,0.896,0.143,0.158,0.000,50.826,0.844,0.104,84.39
David Silva,cam,37,0.891,0.352,0.357,0.405,75.135,0.950,0.109,91.96
Gabriel Jesus,st,34,0.826,0.458,0.250,0.235,18.618,0.785,0.174,80.27
M. Suttner,rb,14,0.764,0.091,0.385,0.286,33.286,0.861,0.236,80.07
M. Ryan,gk,41,0.835,0.250,0.000,0.000,17.878,0.882,0.165,78.92
S. Duffy,cb,39,0.822,0.000,1.000,0.026,33.923,0.896,0.178,81.35
D. Pröpper,rcm,35,0.808,0.154,0.375,0.086,38.314,0.897,0.192,81.41
L. Dunk,rb,38,0.826,0.219,0.375,0.053,37.447,0.903,0.174,81.98
J. Murphy,ram,4,0.829,0.000,0.000,0.000,10.250,0.890,0.171,79.32
L. Sané,ram,33,0.832,0.500,0.308,0.515,32.818,0.883,0.168,84.53
G. Murray,st,35,0.667,0.278,0.000,0.171,15.114,0.825,0.333,73.35
A. Knockaert,lam,33,0.808,0.471,0.306,0.182,30.545,0.877,0.192,81.33
R. Sterling,st,42,0.855,0.407,0.273,0.571,32.476,0.910,0.145,86.07
Bernardo Silva,lam,39,0.846,0.353,0.315,0.205,27.667,0.781,0.154,81.91
J. Hendrick,cam,38,0.825,0.182,0.333,0.184,23.842,0.867,0.175,80.61
J. Tarkowski,cb,31,0.794,0.300,0.000,0.032,33.161,0.884,0.206,79.77
A. Rüdiger,rb,28,0.911,0.333,0.250,0.036,61.107,0.933,0.089,87.49
Fàbregas,cam,36,0.855,0.285,0.610,0.583,64.778,0.936,0.145,90.31
J. Cork,cm,38,0.847,0.111,0.400,0.053,40.316,0.912,0.153,83.00
S. Ward,rb,31,0.716,0.300,0.447,0.290,35.387,0.830,0.284,78.97
T. Heaton,gk,4,0.827,0.000,0.000,0.000,13.000,0.936,0.173,79.45
T. Courtois,gk,47,0.873,0.000,0.000,0.000,21.979,0.907,0.127,80.66
M. Lowton,lb,26,0.717,0.179,0.340,0.192,34.385,0.866,0.283,78.33
Azpilicueta,lb,38,0.870,0.280,0.348,0.079,71.553,0.930,0.130,88.54
Willian,lam,40,0.809,0.321,0.423,0.475,27.200,0.835,0.191,82.49
David Luiz,cb,10,0.873,0.000,0.000,0.000,46.600,0.917,0.127,82.02
G. Cahill,cb,32,0.907,0.000,0.000,0.000,47.219,0.935,0.093,85.08
N. Kanté,cm,45,0.911,0.370,0.652,0.156,59.200,0.934,0.089,89.91
Marcos Alonso,rb,33,0.791,0.250,0.400,0.182,41.455,0.914,0.209,82.03
J. Guðmunds­son,lam,42,0.729,0.273,0.453,0.381,23.738,0.831,0.271,78.31
M. Batshuayi,st,26,0.763,0.167,0.000,0.038,10.231,0.824,0.237,75.73
S. Defour,cm,24,0.854,0.400,0.450,0.250,42.458,0.938,0.146,84.55
J. Boga,lw,1,1.000,0.000,0.000,0.000,4.000,1.000,0.000,80.25
S. Vokes,st,29,0.697,0.000,0.000,0.034,6.034,0.484,0.303,70.91
R. Brady,ram,19,0.710,0.400,0.364,0.368,30.632,0.852,0.290,79.05
B. Mee,rb,29,0.845,0.333,0.500,0.000,35.414,0.904,0.155,82.17
A. Christensen,cb,31,0.940,0.667,0.000,0.000,47.032,0.940,0.060,87.24
Álvaro Morata,st,35,0.758,0.211,0.167,0.171,16.200,0.831,0.242,76.85
S. Arfield,ram,18,0.712,0.133,0.500,0.000,19.278,0.809,0.288,75.98
J. Walters,st,5,0.647,0.000,0.000,0.000,3.400,0.345,0.353,75.96
J. Riedewald,rb,12,0.809,0.000,1.000,0.000,12.667,0.775,0.191,78.42
L. Milivojević,cm,38,0.837,0.294,0.556,0.026,43.053,0.909,0.163,83.31
P. van Aanholt,rb,27,0.759,0.211,0.265,0.259,33.852,0.863,0.241,79.96
C. Benteke,st,33,0.727,0.250,0.000,0.182,12.424,0.749,0.273,74.90
C. Löwe,rb,23,0.724,0.000,0.263,0.043,28.783,0.824,0.276,76.76
T. Ince,cam,33,0.808,0.455,0.526,0.182,20.091,0.774,0.192,79.69
A. Mooy,cm,39,0.818,0.440,0.436,0.205,52.051,0.914,0.182,85.11
T. Smith,lb,24,0.727,0.625,0.500,0.292,35.250,0.798,0.273,79.79
W. Hennessey,gk,32,0.781,0.000,0.000,0.031,15.000,0.820,0.219,76.24
J. Ward,lb,19,0.724,0.333,0.312,0.105,37.211,0.879,0.276,78.88
R. Loftus-Cheek,cam,28,0.852,0.222,0.455,0.179,28.786,0.855,0.148,82.14
P. Billing,rcm,16,0.789,0.667,0.500,0.062,20.750,0.798,0.211,79.17
M. Jørgensen,lb,41,0.817,0.333,0.000,0.049,39.195,0.891,0.183,81.67
C. Schindler,cb,37,0.855,0.000,0.000,0.000,35.946,0.852,0.145,81.50
K. Palmer,cam,4,0.780,0.333,0.000,0.000,12.500,0.792,0.220,78.95
J. Lössl,gk,38,0.796,0.333,0.000,0.026,21.921,0.834,0.204,78.10
S. Dann,cb,17,0.831,0.333,1.000,0.000,31.941,0.883,0.169,81.23
T. Fosu-Mensah,lb,21,0.763,0.200,0.364,0.190,29.905,0.842,0.237,79.29
S. Mounié,st,28,0.753,0.250,0.000,0.107,12.714,0.810,0.247,75.98
J. Puncheon,ram,9,0.873,1.000,0.500,0.000,25.333,0.910,0.127,81.56
W. Zaha,ram,29,0.729,0.348,0.442,0.414,22.862,0.833,0.271,78.69
E. Kachunga,lw,19,0.716,0.000,0.286,0.263,17.632,0.820,0.284,76.76
A. Townsend,lam,36,0.758,0.227,0.352,0.333,29.417,0.889,0.242,80.03
D. Williams,cm,19,0.812,0.000,0.833,0.053,21.526,0.755,0.188,78.95
C. Quaner,lw,25,0.748,0.250,0.429,0.160,17.120,0.809,0.252,77.13
J. Tomkins,cb,28,0.840,0.000,0.500,0.000,29.929,0.883,0.160,80.70
R. van La Parra,ram,32,0.754,0.300,0.257,0.188,21.562,0.749,0.246,77.38
M. Keane,cb,30,0.835,0.200,0.500,0.000,36.333,0.901,0.165,81.74
D. Fletcher,cm,27,0.817,0.333,0.385,0.037,37.222,0.874,0.183,81.37
D. Calvert-Lewin,st,32,0.713,0.143,0.750,0.125,11.312,0.777,0.287,74.61
I. Gueye,cm,36,0.868,0.133,0.500,0.056,46.139,0.926,0.132,84.71
W. Rooney,rw,35,0.821,0.229,0.677,0.200,38.429,0.904,0.179,83.04
G. Cameron,cb,20,0.773,0.250,0.091,0.000,24.000,0.854,0.227,78.01
J. Butland,gk,35,0.743,0.333,0.000,0.000,19.029,0.781,0.257,75.44
D. Klaassen,cm,7,0.804,0.000,0.000,0.000,13.857,0.810,0.196,78.59
M. Schneiderlin,cm,30,0.862,0.143,0.667,0.000,35.800,0.866,0.138,82.49
E. Pieters,rb,31,0.741,0.133,0.417,0.194,33.581,0.858,0.259,78.89
Bojan,rw,14,0.790,0.250,0.500,0.071,11.571,0.775,0.210,77.98
K. Zouma,cb,33,0.827,0.500,0.500,0.000,29.364,0.859,0.173,80.91
X. Shaqiri,lam,44,0.793,0.333,0.352,0.432,32.159,0.875,0.207,82.53
J. Pickford,gk,45,0.767,0.250,0.000,0.000,21.111,0.821,0.233,76.35
A. Williams,cb,29,0.848,0.000,0.000,0.034,32.586,0.896,0.152,81.12
P. Jagielka,cb,24,0.812,0.154,0.000,0.000,38.917,0.873,0.188,80.56
L. Baines,rb,22,0.801,0.500,0.394,0.318,35.091,0.883,0.199,82.20
S. Berahino,st,15,0.756,0.000,0.500,0.000,5.733,0.695,0.244,75.71
R. Shawcross,cb,27,0.758,0.000,0.000,0.037,22.037,0.840,0.242,76.68
J. Allen,cm,42,0.833,0.292,0.471,0.095,36.810,0.909,0.167,82.75
M. Diouf,lw,36,0.632,1.000,0.250,0.167,13.528,0.646,0.368,72.33
Sandro,rw,21,0.804,0.250,0.111,0.143,15.095,0.857,0.196,78.67
Cuco Martina,cb,21,0.793,0.286,0.537,0.238,39.476,0.879,0.207,81.79
T. Davies,cam,33,0.800,0.286,0.333,0.030,20.000,0.844,0.200,78.38
E. Choupo-Moting,rw,29,0.763,0.438,0.280,0.172,21.414,0.821,0.237,78.28
P. Crouch,st,31,0.710,0.167,1.000,0.097,12.355,0.662,0.290,74.26
K. Mirallas,cam,5,0.786,0.000,0.000,0.000,11.200,0.794,0.214,78.57
Juan Mata,lam,28,0.863,0.265,0.438,0.536,43.393,0.907,0.137,86.51
H. Mkhitaryan,cam,26,0.814,0.317,0.276,0.308,37.192,0.877,0.186,82.59
N. Matić,rcm,39,0.889,0.342,0.375,0.103,66.256,0.936,0.111,88.92
P. Pogba,cam,40,0.869,0.250,0.368,0.650,59.550,0.936,0.131,90.62
P. Jones,cb,25,0.936,0.000,0.000,0.000,47.880,0.961,0.064,85.67
D. Blind,rb,6,0.857,0.500,0.600,0.167,37.333,0.451,0.143,80.76
E. Bailly,lb,11,0.880,0.000,1.000,0.182,37.818,0.911,0.120,82.74
A. Ogbonna,cb,33,0.838,0.200,1.000,0.030,31.576,0.895,0.162,81.90
M. Noble,cm,29,0.858,0.474,0.400,0.138,42.931,0.928,0.142,84.53
E. Fernandes,lcm,14,0.793,0.000,0.000,0.143,18.643,0.817,0.207,78.49
A. Ayew,lw,30,0.827,0.333,0.667,0.067,17.767,0.838,0.173,79.64
P. Zabaleta,lb,37,0.751,0.417,0.404,0.162,32.514,0.860,0.249,79.34
A. Masuaku,rb,26,0.753,0.333,0.205,0.269,28.808,0.871,0.247,79.40
Pedro Obiang,cm,21,0.836,0.000,0.750,0.048,34.524,0.902,0.164,81.46
J. Hart,gk,23,0.771,1.000,0.000,0.000,17.261,0.841,0.229,78.02
David de Gea,gk,45,0.825,0.000,0.000,0.000,16.644,0.856,0.175,77.72
M. Arnautović,st,34,0.728,0.316,0.306,0.382,23.000,0.864,0.272,78.39
A. Valencia,lb,31,0.849,0.188,0.426,0.323,53.000,0.912,0.151,86.14
M. Rashford,rw,41,0.778,0.421,0.273,0.244,16.512,0.714,0.222,77.80
R. Lukaku,st,45,0.741,0.304,0.414,0.378,17.644,0.773,0.259,77.53
W. Reid,cb,17,0.858,0.333,1.000,0.000,38.059,0.900,0.142,82.58
J. Hernández,lw,31,0.766,0.077,0.619,0.226,13.097,0.810,0.234,77.26
D. Sakho,st,26,0.747,0.600,0.500,0.038,6.692,0.723,0.253,75.41
D. Rice,cb,22,0.831,0.250,0.000,0.000,24.955,0.719,0.169,79.11
M. Fellaini,lcm,23,0.882,0.333,0.333,0.043,24.783,0.877,0.118,81.91
A. Martial,rw,33,0.806,0.400,0.361,0.364,23.424,0.843,0.194,81.20
A. Cresswell,rb,36,0.777,0.188,0.405,0.139,37.500,0.886,0.223,80.56
J. Lingard,cam,39,0.881,0.214,0.238,0.205,29.231,0.896,0.119,83.71
J. Shelvey,cm,30,0.775,0.280,0.481,0.300,42.233,0.884,0.225,82.16
C. Clark,rb,22,0.797,0.250,0.000,0.045,32.318,0.876,0.203,79.79
F. Lejeune,cb,24,0.835,0.231,0.333,0.042,41.792,0.904,0.165,82.35
R. Elliot,gk,16,0.792,0.000,0.000,0.000,17.688,0.859,0.208,77.79
Ayoze Pérez,st,34,0.750,0.259,0.333,0.324,19.853,0.804,0.250,78.05
M. Ritchie,lam,35,0.734,0.294,0.453,0.429,30.200,0.877,0.266,79.98
Javi Manquillo,cb,21,0.763,0.000,0.312,0.095,25.762,0.833,0.237,78.07
E. Dier,cm,43,0.891,0.283,0.227,0.209,60.186,0.914,0.109,88.80
H. Kane,st,47,0.751,0.359,0.667,0.234,16.085,0.819,0.249,77.37
M. Dembélé,rcm,33,0.936,0.333,0.667,0.091,45.576,0.954,0.064,87.73
J. Vertonghen,rb,46,0.887,0.250,0.444,0.087,62.087,0.936,0.113,88.56
D. Gayle,st,34,0.801,0.167,0.500,0.059,10.471,0.796,0.199,77.04
I. Hayden,lcm,24,0.788,0.333,0.583,0.125,20.667,0.708,0.212,78.46
H. Lloris,gk,49,0.895,0.000,0.000,0.020,20.061,0.899,0.105,81.37
T. Alderweireld,lb,25,0.890,0.300,0.444,0.120,62.040,0.925,0.110,87.11
K. Walker-Peters,lb,3,0.837,0.000,0.333,0.000,34.667,0.912,0.163,80.26
P. Dummett,rb,20,0.772,0.286,0.375,0.200,29.850,0.839,0.228,79.73
