Player,PrimaryPosition,Games,GroundDuelAcc,AerialDuelAcc,GroundDuelsPG,ClearancesPG,FoulsPG,Consistency,SlidingTacklesPG,SlidingTackleAcc,InterceptionsPG,AnticipationRatio,Rating
A. Lacazette,st,32,0.480,0.339,3.50,0.125,0.906,0.460,0.06,0.412,1.09,0.234,70.808
R. Holding,cb,12,0.554,0.567,5.67,2.083,0.917,0.485,0.42,0.450,5.50,0.545,78.834
M. Özil,cam,34,0.441,0.176,3.56,0.147,0.735,0.364,0.09,0.389,1.65,0.250,69.004
Mohamed Elneny,cm,16,0.500,0.514,3.44,0.688,0.500,0.430,0.44,0.409,3.88,0.400,75.256
Bellerín,lb,35,0.437,0.484,6.83,1.257,1.057,0.437,0.97,0.469,4.40,0.500,80.570
H. Maguire,rb,45,0.648,0.701,4.91,2.444,1.000,0.669,0.38,0.594,6.16,0.750,86.219
M. Albrighton,cm,34,0.465,0.439,5.82,0.559,0.618,0.487,0.62,0.306,2.76,0.500,76.713
G. Xhaka,cm,46,0.450,0.538,6.83,1.283,1.500,0.476,0.91,0.526,4.35,0.526,81.418
S. Kolašinac,rb,27,0.523,0.586,6.81,1.185,1.111,0.589,0.33,0.542,2.85,0.538,80.333
Nacho Monreal,rb,28,0.544,0.580,7.54,1.536,0.750,0.573,0.50,0.552,4.32,0.761,83.589
W. Ndidi,lcm,36,0.522,0.681,12.03,1.778,1.778,0.720,0.50,0.545,7.61,0.603,89.271
C. Fuchs,rb,28,0.551,0.664,7.57,2.000,0.571,0.558,0.68,0.471,5.57,0.739,85.104
S. Okazaki,st,30,0.423,0.400,2.73,0.133,0.700,0.141,0.40,0.481,1.27,0.310,70.114
J. Vardy,st,44,0.509,0.418,2.20,0.250,0.818,0.281,0.32,0.517,0.95,0.265,71.553
P. Čech,gk,37,0.400,0.744,0.00,0.514,0.000,1.000,0.00,0.400,1.78,0.400,70.799
M. James,cm,13,0.368,0.569,5.54,1.385,1.615,0.357,0.46,0.429,4.54,0.417,74.432
D. Welbeck,rw,29,0.545,0.430,2.14,0.310,0.448,0.377,0.10,0.389,1.62,0.321,71.934
D. Simpson,lb,28,0.471,0.522,7.43,2.393,0.750,0.596,0.46,0.429,7.00,0.769,81.968
W. Morgan,cb,32,0.609,0.654,4.97,2.656,0.906,0.525,0.31,0.360,5.69,0.775,81.658
A. Oxlade-Chamberlain,lam,35,0.538,0.397,3.29,0.343,0.514,0.498,0.49,0.438,2.49,0.323,75.584
K. Schmeichel,gk,37,0.350,0.688,0.14,0.324,0.081,0.000,0.00,0.400,1.62,0.400,64.450
R. Mahrez,lam,36,0.451,0.412,4.69,0.167,0.611,0.458,0.06,0.353,2.42,0.297,71.883
O. Giroud,st,42,0.500,0.635,1.88,0.310,0.810,0.197,0.14,0.333,0.93,0.161,69.199
A. Ramsey,cam,29,0.427,0.466,6.10,0.310,1.276,0.363,0.93,0.405,2.38,0.293,76.495
D. Amartey,lcm,8,0.474,0.590,5.25,1.375,0.625,0.737,0.38,0.444,4.88,0.455,77.084
T. Walcott,lw,20,0.598,0.333,4.10,0.500,0.300,0.416,0.00,0.400,1.40,0.393,74.843
K. Iheanacho,lw,24,0.318,0.310,2.12,0.042,0.708,0.000,0.12,0.389,0.67,0.233,64.750
D. Gray,ram,35,0.449,0.260,2.37,0.286,0.257,0.000,0.20,0.545,1.54,0.242,68.984
S. Agüero,st,29,0.431,0.491,1.72,0.138,0.414,0.004,0.10,0.444,0.93,0.162,67.598
Fernandinho,cm,39,0.516,0.619,6.13,0.692,1.179,0.567,0.31,0.296,4.41,0.588,77.870
N. Otamendi,cb,38,0.613,0.717,5.53,2.000,0.895,0.578,0.79,0.578,4.11,0.769,86.403
V. Kompany,cb,22,0.549,0.727,3.95,2.318,1.136,0.489,0.55,0.481,4.91,0.450,79.593
J. Stones,cb,24,0.552,0.753,3.75,1.750,0.375,0.502,0.38,0.542,4.12,0.455,79.701
L. Dunk,rb,38,0.568,0.649,5.76,3.789,1.000,0.552,1.29,0.547,6.79,0.789,89.537
K. Walker,lb,40,0.598,0.669,4.47,1.575,0.625,0.520,0.23,0.417,4.22,0.516,80.014
I. Brown,rw,13,0.444,0.439,1.62,0.231,0.231,0.226,0.08,0.438,0.62,0.333,70.618
T. Hemed,rw,16,0.475,0.500,1.56,0.438,0.688,0.056,0.31,0.450,1.31,0.300,70.948
D. Pröpper,rcm,35,0.428,0.569,7.91,1.400,1.200,0.536,0.51,0.485,6.26,0.595,80.788
P. Groß,cam,38,0.458,0.264,5.18,0.342,0.895,0.423,0.26,0.480,1.55,0.205,73.193
D. Stephens,lcm,36,0.449,0.533,8.36,1.111,1.333,0.536,0.69,0.425,6.25,0.517,81.524
Ederson,gk,37,0.438,0.714,0.03,0.486,0.027,1.000,0.03,0.438,1.81,0.438,71.999
S. March,rcm,36,0.462,0.366,5.47,0.694,0.833,0.404,0.39,0.345,2.31,0.379,74.374
Bruno Saltor,lb,25,0.487,0.600,4.16,1.280,0.760,0.368,0.56,0.448,4.76,0.560,77.198
Gabriel Jesus,st,34,0.477,0.413,3.38,0.235,1.059,0.244,0.06,0.412,1.47,0.265,69.879
David Silva,cam,37,0.402,0.516,4.16,0.243,0.865,0.316,0.27,0.280,2.08,0.209,69.979
Danilo,cb,23,0.578,0.619,4.39,0.826,0.522,0.579,0.65,0.567,2.61,0.621,80.828
K. De Bruyne,cam,48,0.500,0.400,4.48,0.333,0.854,0.420,0.23,0.462,2.77,0.327,74.156
S. Duffy,cb,39,0.529,0.749,4.03,4.487,1.000,0.401,0.64,0.500,7.46,0.778,83.720
M. Ryan,gk,41,0.381,0.735,0.15,0.268,0.000,0.000,0.00,0.400,0.93,0.400,65.042
M. Suttner,rb,14,0.508,0.488,8.07,2.000,0.357,0.491,1.07,0.500,4.64,0.640,82.809
J. Murphy,ram,4,0.435,0.353,2.00,0.250,0.250,0.123,0.00,0.400,1.25,0.400,72.651
G. Murray,st,35,0.515,0.463,2.46,0.429,1.743,0.375,0.43,0.400,1.34,0.200,71.462
L. Sané,ram,33,0.451,0.511,3.85,0.212,0.818,0.300,0.21,0.455,1.30,0.324,71.884
A. Knockaert,lam,33,0.470,0.500,4.12,0.424,0.636,0.443,0.30,0.400,2.91,0.350,74.021
R. Sterling,st,42,0.418,0.356,3.40,0.143,1.310,0.283,0.10,0.421,1.62,0.203,67.843
Bernardo Silva,lam,39,0.517,0.432,3.28,0.282,0.282,0.386,0.38,0.500,1.26,0.286,74.649
J. Hendrick,cam,38,0.465,0.333,3.00,0.500,0.737,0.309,0.18,0.409,1.58,0.314,70.274
J. Tarkowski,cb,31,0.613,0.708,5.77,3.452,0.806,0.610,0.77,0.538,7.71,0.725,87.800
A. Rüdiger,rb,28,0.554,0.639,6.75,2.321,1.000,0.602,0.21,0.571,4.21,0.667,82.508
S. Vokes,st,34,0.375,0.609,0.50,0.294,0.618,0.000,0.03,0.375,0.74,0.231,64.183
Fàbregas,cam,36,0.475,0.365,5.78,0.556,0.833,0.406,0.83,0.467,2.75,0.389,78.106
J. Cork,cm,38,0.456,0.525,6.24,1.316,0.632,0.501,0.24,0.458,4.89,0.422,77.915
S. Ward,rb,31,0.482,0.688,6.61,1.935,0.419,0.356,0.42,0.429,5.97,0.629,80.673
T. Heaton,gk,4,0.400,0.471,0.00,0.000,0.000,1.000,0.00,0.400,0.50,0.400,73.123
Azpilicueta,lb,38,0.584,0.667,7.95,1.895,0.605,0.594,0.08,0.500,6.11,0.745,84.775
T. Courtois,gk,47,0.368,0.613,0.09,0.255,0.085,0.000,0.02,0.375,1.57,0.438,63.658
M. Lowton,lb,26,0.450,0.625,7.19,2.846,0.731,0.515,0.62,0.516,7.54,0.500,82.691
Marcos Alonso,rb,33,0.541,0.601,5.76,1.455,0.848,0.557,0.36,0.481,4.82,0.605,80.675
Willian,lam,41,0.517,0.412,2.56,0.171,0.341,0.335,0.00,0.400,1.24,0.235,70.459
David Luiz,cb,10,0.493,0.582,6.00,2.300,1.200,0.655,0.40,0.474,5.30,0.640,78.352
G. Cahill,cb,32,0.587,0.738,4.75,2.375,0.625,0.492,0.66,0.500,4.41,0.697,83.541
N. Kanté,cm,45,0.529,0.435,8.91,0.556,1.422,0.722,0.56,0.550,5.33,0.600,84.554
J. Guðmunds­son,lam,42,0.433,0.527,4.81,0.786,0.548,0.278,0.19,0.478,2.98,0.343,73.697
R. Brady,ram,19,0.463,0.500,7.74,0.842,1.211,0.609,0.42,0.435,3.32,0.318,78.258
B. Mee,rb,29,0.500,0.686,4.52,3.448,0.517,0.392,0.41,0.481,7.76,0.697,80.961
M. Batshuayi,st,26,0.304,0.381,1.58,0.269,0.846,0.000,0.15,0.368,0.77,0.174,63.860
S. Defour,cm,24,0.424,0.389,6.54,0.750,0.750,0.412,0.08,0.412,5.54,0.500,74.860
J. Boga,lw,1,0.400,0.375,0.00,0.000,1.000,1.000,0.00,0.400,0.00,0.400,74.256
A. Christensen,cb,31,0.601,0.717,4.13,2.032,0.323,0.546,0.16,0.500,4.84,0.640,81.065
Álvaro Morata,st,35,0.394,0.488,2.40,0.514,1.571,0.103,0.29,0.400,1.09,0.130,66.901
S. Arfield,ram,18,0.439,0.295,6.50,0.889,1.222,0.514,0.50,0.417,3.22,0.333,75.823
J. Walters,st,5,0.526,0.480,0.80,0.200,0.200,1.000,0.00,0.400,0.20,0.375,74.098
J. Riedewald,rb,12,0.463,0.500,2.17,0.417,0.250,0.000,0.33,0.474,1.83,0.375,72.228
L. Milivojević,cm,38,0.468,0.578,8.37,1.684,1.921,0.581,0.71,0.405,6.42,0.605,82.384
P. van Aanholt,rb,28,0.550,0.500,5.50,1.429,0.750,0.452,0.11,0.444,4.00,0.517,77.824
C. Benteke,st,33,0.400,0.631,1.97,0.758,1.515,0.000,0.21,0.318,1.64,0.163,66.382
M. Jørgensen,lb,41,0.608,0.620,7.90,3.000,1.195,0.715,0.34,0.379,7.05,0.845,86.868
C. Schindler,cb,37,0.583,0.692,7.24,3.838,0.784,0.526,0.97,0.451,6.35,0.828,89.453
